adp_source,player_name_raw,position,team,reason,retrieved_at,quarantined_at
ffc_half_ppr_12team,Miami Defense,DEF,MIA,no_name_match,2026-07-29T23:12:51.798309+00:00,2026-07-29T23:12:51.798309+00:00
ffc_half_ppr_12team,Miami Defense,DEF,MIA,no_name_match,2026-07-29T23:13:04.509470+00:00,2026-07-29T23:13:04.509470+00:00
ffc_half_ppr_12team,Michael Badgley,PK,FA,no_name_match,2026-07-29T23:12:38.843306+00:00,2026-07-29T23:12:38.843306+00:00
ffc_half_ppr_12team,Michael Badgley,PK,FA,no_name_match,2026-07-29T23:12:51.798309+00:00,2026-07-29T23:12:51.798309+00:00
ffc_half_ppr_12team,Mike Williams,WR,FA,ambiguous_name_match:3_candidates,2026-07-29T23:12:32.870411+00:00,2026-07-29T23:12:32.870411+00:00
ffc_half_ppr_12team,Mike Williams,WR,FA,ambiguous_name_match:3_candidates,2026-07-29T23:12:38.843306+00:00,2026-07-29T23:12:38.843306+00:00
ffc_half_ppr_12team,Mike Williams,WR,FA,ambiguous_name_match:3_candidates,2026-07-29T23:12:45.285516+00:00,2026-07-29T23:12:45.285516+00:00
ffc_half_ppr_12team,Mike Williams,WR,FA,ambiguous_name_match:3_candidates,2026-07-29T23:12:51.798309+00:00,2026-07-29T23:12:51.798309+00:00
ffc_half_ppr_12team,Mike Williams,WR,FA,ambiguous_name_match:3_candidates,2026-07-29T23:12:59.465093+00:00,2026-07-29T23:12:59.465093+00:00
ffc_half_ppr_12team,Mike Williams,WR,FA,ambiguous_name_match:3_candidates,2026-07-29T23:13:04.509470+00:00,2026-07-29T23:13:04.509470+00:00
ffc_half_ppr_12team,Mike Williams,WR,FA,ambiguous_name_match:3_candidates,2026-07-29T23:13:11.779054+00:00,2026-07-29T23:13:11.779054+00:00
ffc_half_ppr_12team,Minnesota Defense,DEF,MIN,no_name_match,2026-07-29T23:12:32.870411+00:00,2026-07-29T23:12:32.870411+00:00
ffc_half_ppr_12team,Minnesota Defense,DEF,MIN,no_name_match,2026-07-29T23:12:38.843306+00:00,2026-07-29T23:12:38.843306+00:00
