projection_source,sleeper_player_id,mfl_id,player_name,position,query_position,team,season,season_type,company,gp,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_2pt,cmp_pct,rush_att,rush_yd,rush_td,rush_2pt,rec,rec_yd,rec_td,rec_2pt,fum_lost,pts_std,pts_half_ppr,pts_ppr,source_last_modified,source_updated_at,as_of_date,retrieved_at,ingested_at
sleeper_rotowire,4323,13396,Darrell Daniels,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311413756,1785311413756,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4326,13385,Bug Howard,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311413758,1785311413758,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4362,13369,Cethan Carter,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311412509,1785311412509,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4381,13424,Taysom Hill,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,5.0,20.0,,,4.0,35.0,,,,5.5,7.5,9.5,1785311412510,1785311412510,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4421,13391,Jacob Hollister,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311418838,1785311418838,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4435,13919,Anthony Firkser,TE,TE,WAS,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311421396,1785311421396,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4443,13994,Pharaoh Brown,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311411194,1785311411194,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4468,13445,Antony Auclair,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311420119,1785311420119,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4531,13382,Ricky Seals-Jones,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311413787,1785311413787,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4536,13890,Jason Croom,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311416344,1785311416344,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4571,13722,Blake Jarwin,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311410005,1785311410005,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4602,13427,Robert Tonyan,TE,TE,PIT,2026,regular,rotowire,18.0,,,,,,,,,,,,1.0,9.0,,,,0.9,1.4,1.9,1785311411215,1785311411215,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4605,13476,Evan Baylis,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311413798,1785311413798,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4647,15123,Colin Thompson,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311416362,1785311416362,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4650,13728,Billy Brown,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311416363,1785311416363,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4660,13438,Sean Culkin,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311411224,1785311411224,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4678,13411,Tyrone Swoopes,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311420146,1785311420146,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4741,13880,Dan Arnold,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311421419,1785311421419,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4973,13680,Hayden Hurst,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311412584,1785311412584,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4993,13672,Mike Gesicki,TE,TE,CIN,2026,regular,rotowire,18.0,,,,,,,,,,,,42.0,449.0,3.0,,,62.9,83.9,104.9,1785311418901,1785311418901,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,4995,13678,Ian Thomas,TE,TE,LV,2026,regular,rotowire,18.0,,,,,,,,,,,,2.0,20.0,,,,2.0,3.0,4.0,1785311416412,1785311416412,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,5001,13772,Dalton Schultz,TE,TE,HOU,2026,regular,rotowire,18.0,,,,,,,,,,,,55.0,545.0,4.0,,,78.5,106.0,133.5,1785311417640,1785311417640,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,5008,13676,Durham Smythe,TE,TE,BAL,2026,regular,rotowire,18.0,,,,,,,,,,,,5.0,49.0,,,,4.9,7.4,9.9,1785311411266,1785311411266,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,5009,13679,Chris Herndon,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,,,,,,,,,1785311415097,1785311415097,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,5010,13763,Will Dissly,TE,TE,,2026,regular,rotowire,18.0,,,,,,,,,,,,11.0,100.0,1.0,,,16.0,21.5,27.0,1785311413836,1785311413836,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
sleeper_rotowire,5012,13671,Mark Andrews,TE,TE,BAL,2026,regular,rotowire,18.0,,,,,,,,6.0,11.0,,,57.0,622.0,6.0,,,99.3,127.8,156.3,1785311410049,1785311410049,2026-07-29,2026-07-29T21:50:39.880165+00:00,2026-07-29T21:50:39.880165+00:00
