batch,run,position,season,k,universe,targets,S,first_feature_season,n_board_vet,n_vet,rho_points_fullvet,mae_games_fullvet,bias_games_fullvet,rho_points,pearson_points,mae_games,bias_games,rho_games,mae_naive_games,coverage
CTRL,CTRL-T2A,RB,2017,0,m_panel_ppr12,2013-2024,12,2002,13,122,0.5892949118975145,4.875703894121015,-0.0424809501878499,0.6208791208791209,0.3297504553699252,5.275231873396802,-1.936229185705937,0.2123921538858041,4.615384615384615,
CTRL,CTRL-T2A,RB,2018,0,m_panel_ppr12,2013-2024,12,2002,27,120,0.6388274917129895,4.273655171256716,0.4174218394430073,0.3931623931623931,0.4565453190203689,3.3372097077511174,-2.008881268022059,0.334906697162315,3.0,
CTRL,CTRL-T2A,RB,2019,0,m_panel_ppr12,2013-2024,12,2002,34,118,0.7132189168151755,4.501034438226647,-0.0546587660077393,0.3784568372803666,0.5217463241738736,3.704991485690737,-3.1939418215908986,0.1826581784899373,2.735294117647059,
CTRL,CTRL-T2A,RB,2020,0,m_panel_ppr12,2013-2024,12,2002,44,119,0.6650805663894154,3.901658401100112,-0.4893348354043925,0.4007047216349542,0.3687702932160941,4.455663362784406,-0.989283573819006,-0.1220076696705203,4.886363636363637,
CTRL,CTRL-T2A,RB,2021,0,m_panel_ppr12,2013-2024,12,2002,54,116,0.5822368744499369,4.615222178213186,0.2954403929520307,0.6015246807699637,0.5979997027971501,4.013531218346712,-2.4678509826326698,0.1406320134747659,4.12962962962963,
CTRL,CTRL-T2A,RB,2022,0,m_panel_ppr12,2013-2024,12,2002,41,123,0.7036332522763061,4.611749675984535,-0.0908153438536971,0.3454703832752614,0.3040078105852823,4.565584311406997,-3.4385069538553807,0.0897605983522869,4.0,
CTRL,CTRL-T2A,RB,2023,0,m_panel_ppr12,2013-2024,12,2002,50,128,0.7381293196504731,4.331789610552616,0.3195826610901941,0.3912124849939976,0.3796075184425534,3.9148464942294168,-2.6557315165195945,0.3174057606828537,3.14,
CTRL,CTRL-T2A,RB,2024,0,m_panel_ppr12,2013-2024,12,2002,51,112,0.7809529188280145,4.267535551328261,-0.2430227334391294,0.4839928506408551,0.4475493416911225,3.713600109927959,-2.509142991478678,0.3283878857015203,3.07843137254902,
CTRL,CTRL-T2A,TE,2014,0,m_panel_ppr12,2014-2024,11,2012,3,80,0.7047988880520123,3.809904578653085,-0.5448983081035086,,,,,,,
CTRL,CTRL-T2A,TE,2015,0,m_panel_ppr12,2014-2024,11,2012,6,79,0.5700192215087432,3.7858459264495696,-0.4700553185316317,,,,,,,
CTRL,CTRL-T2A,TE,2016,0,m_panel_ppr12,2014-2024,11,2012,5,85,0.6593211879829275,4.203166948846,0.5161880994954696,,,,,,,
CTRL,CTRL-T2A,TE,2017,0,m_panel_ppr12,2014-2024,11,2012,7,92,0.6163449122055439,4.48601226102326,-0.7612244047236771,,,,,,,
CTRL,CTRL-T2A,TE,2018,0,m_panel_ppr12,2014-2024,11,2012,11,89,0.6164898924677821,4.311879673098682,1.0863231297074234,0.2454545454545454,0.3839109600305448,3.063820137320642,-2.615596510754945,0.1043756138889901,1.9090909090909087,
CTRL,CTRL-T2A,TE,2019,0,m_panel_ppr12,2014-2024,11,2012,11,91,0.5304603056392176,4.4594515365653935,-0.4437828034054566,0.3090909090909091,0.1833926270073427,4.722666238871451,-2.0513218282488626,-0.2857415935487382,4.636363636363637,
CTRL,CTRL-T2A,TE,2020,0,m_panel_ppr12,2014-2024,11,2012,16,85,0.6325912797213402,4.289479391459962,-1.0636886553452485,0.3647058823529411,0.5235131487492185,3.7180769953872463,-3.1816377656347115,-0.0059935603820255,2.9375,
CTRL,CTRL-T2A,TE,2021,0,m_panel_ppr12,2014-2024,11,2012,17,90,0.6709890662523593,4.365104192023898,-0.0740111258864436,0.375,0.5620811929542489,3.805844813087336,-2.0048274026921824,0.179237621012436,3.3529411764705883,
