column,target,n,spearman_rho,p_raw,abs_rho,rank,position
late4_share_1,abs_resid,524,0.09300291391663586,0.033298563521079176,0.09300291391663586,41,RB
age,abs_resid,524,-0.09275713427720012,0.03376931542095336,0.09275713427720012,42,RB
endgap_share_1,abs_resid,524,-0.08554332578709069,0.05033707082750311,0.08554332578709069,43,RB
played_thru_1,abs_resid,524,0.0718529572159537,0.10038591701931218,0.0718529572159537,44,RB
NOISE_CONTROL,abs_resid,524,-0.06263929587952022,0.15218356987168064,0.06263929587952022,45,RB
miss1_x_resolved,abs_resid,524,-0.059310508817808354,0.1752166331819016,0.059310508817808354,46,RB
ints_1,abs_resid,524,0.05626559261037093,0.198470532284479,0.05626559261037093,47,RB
passtd_1,abs_resid,524,0.05543250395002028,0.2052082420430266,0.05543250395002028,48,RB
proj_catch_rate,abs_resid,524,0.04807272147457988,0.2720114988253847,0.04807272147457988,49,RB
present_1,abs_resid,524,0.039511710097119956,0.36670799949512256,0.039511710097119956,50,RB
wk1_injury_report_flag,abs_resid,524,0.03694593892531917,0.3986695914710924,0.03694593892531917,51,RB
proj_ypr,abs_resid,524,0.019852420719310437,0.6502592215710129,0.019852420719310437,52,RB
inj_out_wks_1,abs_resid,524,0.012025109729135506,0.7836082744717775,0.012025109729135506,53,RB
inj_missed_share_1,abs_resid,524,0.012025109729135506,0.7836082744717775,0.012025109729135506,54,RB
n_train_seasons,abs_resid,524,-0.002219405939532467,0.9595779166791097,0.002219405939532467,55,RB
proj_apg,abs_resid,0,,,,56,RB
proj_attempts,abs_resid,0,,,,57,RB
proj_pass_yards,abs_resid,0,,,,58,RB
proj_pass_tds,abs_resid,0,,,,59,RB
proj_interceptions,abs_resid,0,,,,60,RB
proj_ypa,abs_resid,0,,,,61,RB
proj_td_per_att,abs_resid,0,,,,62,RB
proj_td_per_target,abs_resid,0,,,,63,RB
proj_bonus_points,abs_resid,390,0.36338704127292004,1.2817370485520884e-13,0.36338704127292004,1,TE
proj_points_base,abs_resid,390,0.3516285042716109,8.585377167900426e-13,0.3516285042716109,2,TE
proj_points,abs_resid,390,0.35160220560821015,8.62121789896333e-13,0.35160220560821015,3,TE
ppg_w,abs_resid,354,0.35117303748399437,1.0335477919362919e-11,0.35117303748399437,4,TE
proj_rec_tds,abs_resid,390,0.3492246041393691,1.2544224261772961e-12,0.3492246041393691,5,TE
proj_rec_yards,abs_resid,390,0.34627288261874806,1.989507268128487e-12,0.34627288261874806,6,TE
proj_tpg,abs_resid,390,0.3425749697729757,3.52151114795917e-12,0.3425749697729757,7,TE
proj_targets,abs_resid,390,0.3414648800568536,4.173829354071979e-12,0.3414648800568536,8,TE
proj_receptions,abs_resid,390,0.3410651403731618,4.4364955907078345e-12,0.3410651403731618,9,TE
pts_1,abs_resid,390,0.2833417569948472,1.2358192557957626e-08,0.2833417569948472,10,TE
recyds_1,abs_resid,390,0.27308606491392357,4.248016867930503e-08,0.27308606491392357,11,TE
proj_fumbles_lost,abs_resid,390,0.26999886915747373,6.10000693669794e-08,0.26999886915747373,12,TE
proj_games,abs_resid,390,0.2633641209762792,1.3075019346040049e-07,0.2633641209762792,13,TE
rec_1,abs_resid,390,0.26256554149491756,1.4311716633404874e-07,0.26256554149491756,14,TE
tgt_1,abs_resid,390,0.25996626520145505,1.9166815081082476e-07,0.25996626520145505,15,TE
rectd_1,abs_resid,390,0.2583327109182165,2.2992088398551138e-07,0.2583327109182165,16,TE
gshare_w,abs_resid,354,0.22979776190150888,1.26019026374634e-05,0.22979776190150888,17,TE
depth_chart_starter_wk1,abs_resid,390,0.22163905871985756,9.960035960714844e-06,0.22163905871985756,18,TE
games_1,abs_resid,390,0.20946404984288353,3.0506629037845967e-05,0.20946404984288353,19,TE
missed_wks_1,abs_resid,390,-0.20946404984288353,3.0506629037845967e-05,0.20946404984288353,20,TE
gshare_1,abs_resid,390,0.20946404984288353,3.0506629037845967e-05,0.20946404984288353,21,TE
unexp_missed_share_1,abs_resid,390,-0.2093013282682097,3.095313513338388e-05,0.2093013282682097,22,TE
late4_share_1,abs_resid,390,0.18050262621281835,0.00034010049140809155,0.18050262621281835,23,TE
proj_carries,abs_resid,390,0.1632636374387738,0.0012139368232217012,0.1632636374387738,24,TE
rushtd_1,abs_resid,390,0.16071463673371858,0.0014505630257721745,0.16071463673371858,25,TE
rostered_absent_share_1,abs_resid,390,-0.15451727624078954,0.0022128159897234806,0.15451727624078954,26,TE
proj_rush_yards,abs_resid,390,0.149718223041298,0.0030373694590466412,0.149718223041298,27,TE
depth_first_share_1,abs_resid,390,0.14837117639424713,0.003314438140507661,0.14837117639424713,28,TE
chronic_missed_share,abs_resid,390,-0.13839325378027134,0.006191578054858738,0.13839325378027134,29,TE
evidence,abs_resid,390,0.1383696762663205,0.00620044806184619,0.1383696762663205,30,TE
played_thru_1,abs_resid,390,0.13164643353432826,0.009246565242018282,0.13164643353432826,31,TE
miss1_x_endgap,abs_resid,390,-0.1308697771282608,0.009672807222911908,0.1308697771282608,32,TE
gshare_max3,abs_resid,390,0.13027391340186545,0.010011563563835302,0.13027391340186545,33,TE
endgap_share_1,abs_resid,390,-0.12441025046174217,0.013948846344171673,0.12441025046174217,34,TE
proj_rush_tds,abs_resid,390,0.11382655715241682,0.02457684399615737,0.11382655715241682,35,TE
att_1,abs_resid,390,0.10744728073403362,0.03390100614528985,0.10744728073403362,36,TE
ints_1,abs_resid,390,0.09952980611510188,0.049515431315739905,0.09952980611510188,37,TE
average_pick,abs_resid,58,-0.09524981653427383,0.4769420768591398,0.09524981653427383,38,TE
offroster_share_1,abs_resid,390,-0.09325916367276853,0.06579457279885859,0.09325916367276853,39,TE
age,abs_resid,390,-0.09187596751973642,0.0699219417975904,0.09187596751973642,40,TE
proj_ypr,abs_resid,390,0.08723792905089796,0.08533021892158979,0.08723792905089796,41,TE
passtd_1,abs_resid,390,0.08309005289868787,0.10132487444458699,0.08309005289868787,42,TE
passyds_1,abs_resid,390,0.0829768059827619,0.10179283374776689,0.0829768059827619,43,TE
proj_td_per_target,abs_resid,390,0.07641797798739693,0.13194050137867774,0.07641797798739693,44,TE
present_1,abs_resid,390,0.07096986159645412,0.16187055785773982,0.07096986159645412,45,TE
carries_1,abs_resid,390,0.06328636397147801,0.21238128252148852,0.06328636397147801,46,TE
miss1_x_resolved,abs_resid,390,-0.06059575914890483,0.23250668176596745,0.06059575914890483,47,TE
proj_catch_rate,abs_resid,390,0.0434751273927336,0.3918794285754553,0.0434751273927336,48,TE
wk1_injury_report_flag,abs_resid,390,0.03653603129583816,0.471861828988938,0.03653603129583816,49,TE
rushyds_1,abs_resid,390,0.03437924784044545,0.49843349515720525,0.03437924784044545,50,TE
