factor,class,position,raw_rho_pooled,raw_n,partial_rho_pooled,partial_n,raw_rho_matched,priorpoints_rho_matched,matched_n,beats_aggregate_delta,per_season,n_seasons_pos,n_seasons_neg,n_seasons_zero,contrast_of
contrast_wopr_minus_redzone_share,CONSTITUENT,TE,-0.006448071709289331,516,0.092108174721976,516,-0.006448071709289331,0.649426068029988,516,-0.6558741397392773,"{2013: 0.0983, 2014: -0.0518, 2015: 0.2118, 2016: -0.046, 2017: -0.1962, 2018: -0.0274, 2019: -0.0463}",2,5,0,wopr (rho=0.791 vs redzone_share)
contrast_wopr_minus_share_level,CONSTITUENT,TE,-0.01256614828391749,621,-0.02038416256989456,621,-0.01256614828391749,0.6763439868677023,621,-0.6889101351516197,"{2013: 0.0719, 2014: -0.0673, 2015: 0.1834, 2016: 0.0431, 2017: -0.1968, 2018: -0.0687, 2019: -0.0437}",3,4,0,wopr (rho=0.913 vs share_level)
contrast_wopr_minus_depth_rostered_absent,CONSTITUENT,TE,0.6479531814496778,621,0.15140314869701435,621,0.6479531814496778,0.6763439868677023,621,-0.028390805418024412,"{2013: 0.7195, 2014: 0.6817, 2015: 0.6854, 2016: 0.6896, 2017: 0.5928, 2018: 0.5336, 2019: 0.5954}",7,0,0,wopr (rho=-0.642 vs depth_rostered_absent)
contrast_wopr_minus_depth_first_share,CONSTITUENT,TE,0.32519669729613143,621,0.1686038189676442,621,0.32519669729613143,0.6763439868677023,621,-0.3511472895715708,"{2013: 0.4072, 2014: 0.2146, 2015: 0.4779, 2016: 0.2644, 2017: 0.3484, 2018: 0.3133, 2019: 0.2314}",7,0,0,wopr (rho=0.646 vs depth_first_share)
contrast_wopr_minus_inj_unexp_missed_share,CONSTITUENT,TE,0.6667461587365902,621,0.10458047981591995,621,0.6667461587365902,0.6763439868677023,621,-0.009597828131112096,"{2013: 0.7118, 2014: 0.6919, 2015: 0.7047, 2016: 0.688, 2017: 0.6753, 2018: 0.5849, 2019: 0.5778}",7,0,0,wopr (rho=-0.715 vs inj_unexp_missed_share)
contrast_snap_share_minus_redzone_share,CONSTITUENT,TE,-0.09763344709420602,403,0.03294847176261771,403,-0.09763344709420602,0.6104807519166205,403,-0.7081141990108266,"{2013: None, 2014: -0.2182, 2015: -0.072, 2016: -0.0762, 2017: -0.0715, 2018: -0.0972, 2019: -0.0753}",0,6,0,snap_share (rho=0.725 vs redzone_share)
contrast_snap_share_minus_share_level,CONSTITUENT,TE,-0.11884437241261638,480,-0.10720756663555048,480,-0.11884437241261638,0.6452420144187391,480,-0.7640863868313554,"{2013: None, 2014: -0.2924, 2015: -0.1637, 2016: -0.02, 2017: -0.0808, 2018: -0.1108, 2019: -0.1187}",0,6,0,snap_share (rho=0.865 vs share_level)
contrast_snap_share_minus_depth_rostered_absent,CONSTITUENT,TE,0.5758024930247808,480,0.07659274550417201,480,0.5758024930247808,0.6452420144187391,480,-0.06943952139395826,"{2013: None, 2014: 0.5859, 2015: 0.5477, 2016: 0.666, 2017: 0.5872, 2018: 0.4744, 2019: 0.5245}",6,0,0,snap_share (rho=-0.607 vs depth_rostered_absent)
contrast_snap_share_minus_depth_first_share,CONSTITUENT,TE,0.2494977510606034,480,0.07458078970362458,480,0.2494977510606034,0.6452420144187391,480,-0.3957442633581357,"{2013: None, 2014: 0.128, 2015: 0.3065, 2016: 0.2535, 2017: 0.3384, 2018: 0.2814, 2019: 0.1978}",6,0,0,snap_share (rho=0.740 vs depth_first_share)
contrast_snap_share_minus_inj_unexp_missed_share,CONSTITUENT,TE,0.5890823400713967,480,0.008399579567333532,480,0.5890823400713967,0.6452420144187391,480,-0.05615967434734237,"{2013: None, 2014: 0.5942, 2015: 0.5485, 2016: 0.6561, 2017: 0.6546, 2018: 0.5217, 2019: 0.5382}",6,0,0,snap_share (rho=-0.746 vs inj_unexp_missed_share)
contrast_redzone_share_minus_share_level,CONSTITUENT,TE,0.026850839693568114,516,-0.11530850978595661,516,0.026850839693568114,0.649426068029988,516,-0.6225752283364199,"{2013: -0.016, 2014: 0.0915, 2015: -0.0849, 2016: 0.0579, 2017: 0.0944, 2018: 0.0153, 2019: 0.031}",5,2,0,redzone_share (rho=0.823 vs share_level)
contrast_redzone_share_minus_depth_rostered_absent,CONSTITUENT,TE,0.5905921741681336,516,0.04554280854070469,516,0.5905921741681336,0.649426068029988,516,-0.05883389386185445,"{2013: 0.705, 2014: 0.6619, 2015: 0.5492, 2016: 0.6359, 2017: 0.4945, 2018: 0.4544, 2019: 0.5492}",7,0,0,redzone_share (rho=-0.709 vs depth_rostered_absent)
contrast_redzone_share_minus_depth_first_share,CONSTITUENT,TE,0.24997013303195495,516,0.051799958570768315,516,0.24997013303195495,0.649426068029988,516,-0.3994559349980331,"{2013: 0.3718, 2014: 0.2665, 2015: 0.2374, 2016: 0.2784, 2017: 0.2341, 2018: 0.1897, 2019: 0.1369}",7,0,0,redzone_share (rho=0.661 vs depth_first_share)
contrast_redzone_share_minus_inj_unexp_missed_share,CONSTITUENT,TE,0.5818687854374827,516,-0.010122534402498875,516,0.5818687854374827,0.649426068029988,516,-0.06755728259250537,"{2013: 0.6977, 2014: 0.6235, 2015: 0.5549, 2016: 0.5908, 2017: 0.5632, 2018: 0.4616, 2019: 0.4867}",7,0,0,redzone_share (rho=-0.774 vs inj_unexp_missed_share)
contrast_implied_team_total_minus_proe,EXOGENOUS,TE,0.09034549347166766,122,0.14965753524142084,89,0.10546713643899502,0.5932496276663121,89,-0.48778249122731704,"{2013: None, 2014: None, 2015: None, 2016: None, 2017: None, 2018: None, 2019: 0.0903}",1,0,0,implied_team_total (rho=0.737 vs proe)
contrast_share_level_minus_depth_first_share,CONSTITUENT,TE,0.35482317216710074,670,0.1854820660575956,621,0.35828274112110575,0.6763439868677023,621,-0.3180612457465965,"{2013: 0.385, 2014: 0.365, 2015: 0.4639, 2016: 0.2566, 2017: 0.3738, 2018: 0.3782, 2019: 0.2776}",7,0,0,share_level (rho=0.679 vs depth_first_share)
contrast_share_level_minus_inj_unexp_missed_share,CONSTITUENT,TE,0.6614080831822946,670,0.10181993737817492,621,0.6560879802085782,0.6763439868677023,621,-0.02025600665912408,"{2013: 0.6558, 2014: 0.6958, 2015: 0.6683, 2016: 0.6752, 2017: 0.6941, 2018: 0.6409, 2019: 0.5942}",7,0,0,share_level (rho=-0.760 vs inj_unexp_missed_share)
contrast_depth_offroster_minus_inj_unexp_missed_share,EXOGENOUS,TE,0.49504638350044555,672,0.08316844756271108,621,0.513547887174613,0.6763439868677023,621,-0.16279609969308928,"{2013: 0.5835, 2014: 0.5632, 2015: 0.4759, 2016: 0.483, 2017: 0.4259, 2018: 0.4321, 2019: 0.495}",7,0,0,depth_offroster (rho=0.624 vs inj_unexp_missed_share)
contrast_depth_first_share_minus_inj_unexp_missed_share,EXOGENOUS,TE,0.5522589721777524,672,-0.05779681378264544,621,0.5522220364555873,0.6763439868677023,621,-0.12412195041211493,"{2013: 0.5168, 2014: 0.605, 2015: 0.5262, 2016: 0.5964, 2017: 0.5595, 2018: 0.5435, 2019: 0.4895}",7,0,0,depth_first_share (rho=-0.670 vs inj_unexp_missed_share)
