column,target,n,spearman_rho,p_raw,abs_rho,rank
proj_rush_yards,abs_resid,2054,0.1136806844800418,2.394787774143787e-07,0.1136806844800418,41
proj_carries,abs_resid,2054,0.1101406363860363,5.618665060763178e-07,0.1101406363860363,42
miss1_x_endgap,abs_resid,2054,-0.11006811680434843,5.716140178080913e-07,0.11006811680434843,43
proj_ypc,abs_resid,524,0.10351097270499503,0.017779152792475505,0.10351097270499503,44
proj_td_per_target,abs_resid,1217,0.10332223107569677,0.00030570969646860407,0.10332223107569677,45
endgap_share_1,abs_resid,2054,-0.10236906529759322,3.3375954631014396e-06,0.10236906529759322,46
played_thru_1,abs_resid,2054,0.09974484907478248,5.923813116841332e-06,0.09974484907478248,47
offroster_share_1,abs_resid,2054,-0.09014861857660722,4.2863236241350835e-05,0.09014861857660722,48
age,abs_resid,2054,-0.08557354263193022,0.00010315498638674798,0.08557354263193022,49
proj_td_per_att,abs_resid,313,0.08479322388364911,0.1344348571164216,0.08479322388364911,50
average_pick,abs_resid,564,-0.08128843101553343,0.053680696295470356,0.08128843101553343,51
proj_ypr,abs_resid,1741,-0.07508824380021427,0.0017170448414537743,0.07508824380021427,52
present_1,abs_resid,2054,0.060737459973442216,0.005895208882365143,0.060737459973442216,53
miss1_x_resolved,abs_resid,2054,-0.04794450810986208,0.02979360020816881,0.04794450810986208,54
inj_missed_share_1,abs_resid,2054,0.030790736623380503,0.16303073864921688,0.030790736623380503,55
inj_out_wks_1,abs_resid,2054,0.030335971946109683,0.1693366899708985,0.030335971946109683,56
att_1,abs_resid,2054,0.016889650544086202,0.4442443015271892,0.016889650544086202,57
wk1_injury_report_flag,abs_resid,2054,0.009019653905146445,0.6828773464767952,0.009019653905146445,58
n_train_seasons,abs_resid,2054,-0.0055761425197269985,0.8006044503076446,0.0055761425197269985,59
ints_1,abs_resid,2054,0.0053830919470998,0.807369627935649,0.0053830919470998,60
passyds_1,abs_resid,2054,0.0052643839698275,0.8115367717221468,0.0052643839698275,61
passtd_1,abs_resid,2054,0.0022928388414059893,0.9172877476940002,0.0022928388414059893,62
NOISE_CONTROL,abs_resid,2054,-0.001916381335365481,0.9308307460942213,0.001916381335365481,63
