idx,factor,arm,position,e1_comp,is_control,control_for,e1a_d,e1a_lo,e1a_hi,e1a_p,e1a_n,e1a_pct,e1b_d,e1b_lo,e1b_hi,e1b_n,e2_d,e2_lo,e2_hi,e2_n,rho_d,rho_lo,rho_hi,passyds_d,proxy_reads,n_players,primary_mae,primary_adpsub_mae,coverage,grade,bh_c47_10_orig,bh_camp05,bh_batch10,breaking_m,leak_trigger,bh_c47_10,bh_c47_05,bh_c80_10,bh_c80_05,grade_m47
11,#18 expected fantasy points,X1 add xFP per game,TE,targets,False,X4c,0.060965032184148,-0.0018247149271493,0.1342157568859556,0.1399678227421819,11,0.3110852030102886,-0.0468282433508403,-0.1457272024974464,0.0801821456125375,7,-0.0033733723346233,-0.013072072252394,0.0053143279939438,7,-0.0020957061718671,-0.0056324940912953,0.0013952771744091,,0,1041,19.59753520714121,28.2626723535697,0.9366296757937624,NULL,False,False,False,,False,False,False,False,False,NULL
12,#18 expected fantasy points,X2 REPLACE ppg_w with xFP per game,QB,attempts,False,X4c,0.7762826014650647,0.3877371055230209,1.1406521774024605,0.0035679509685825,11,0.6873723684384478,1.3531436413202076,0.7035985684718165,2.061910510906414,7,-0.0059653858182789,-0.0183526627834408,0.0061923322400602,7,-0.001394644022156,-0.0035993021869711,0.0008525386848454,6.2256082249819285,0,869,112.93479882361294,136.93830961295757,0.9375776397515526,HARMFUL,True,True,True,140.0,False,True,True,True,False,HARMFUL
13,#18 expected fantasy points,X2 REPLACE ppg_w with xFP per game,RB,carries,False,X4c,0.7679768927135516,0.5641150761413624,0.992185162856513,5.808176883803527e-05,11,1.5483541180303169,1.0694740387379602,0.6366542363217401,1.556410295681624,7,-0.0141410439005369,-0.0249353614009081,-0.0034425191012644,7,-0.0063958831302175,-0.0085484905797969,-0.0040951048599285,,0,1441,49.5995640642275,65.09989479249572,0.8362108925118161,HARMFUL,True,True,True,1721.0,False,True,True,True,True,HARMFUL
14,#18 expected fantasy points,X2 REPLACE ppg_w with xFP per game,WR,targets,False,X4c,0.3946977243346632,0.2403122226072585,0.5445902999457304,0.0007262970744063,11,1.6390676788618397,0.3086712276364492,-0.0180499082131976,0.6233876499701465,7,-0.010138502378553,-0.0260296562719252,0.0058169954443398,7,-0.004308699791017,-0.0065140350835881,-0.0019912379893386,,0,2271,24.08062396842206,31.431301032969213,0.8971724155362368,HARMFUL,True,True,True,308.0,False,True,True,True,True,HARMFUL
15,#18 expected fantasy points,X2 REPLACE ppg_w with xFP per game,TE,targets,False,X4c,0.1294769087931978,0.0380148905151551,0.2228867511397409,0.0271520187310519,11,0.6606795570190753,0.304705552300526,-0.1415386012441989,0.7308417086149399,7,-0.0148327591217594,-0.0303687025049254,-0.000451947163795,7,-0.0040489173525288,-0.0075885240203345,-7.768158101581724e-06,,0,1041,19.59753520714121,28.2626723535697,0.9366296757937624,MARGINAL-HARMFUL,False,False,True,,False,False,False,False,False,MARGINAL-HARMFUL
16,#18 expected fantasy points,X3 luck residual (actual - expected),QB,attempts,False,X4c,-0.6861783192313079,-1.3596144257627814,-0.0742698134006024,0.07696426873137,11,-0.607588029888834,0.2360198904944427,-1.869016819248352,2.219500920570621,7,0.004779451778471,-0.0160970749856006,0.0302754782811174,7,0.0003373864525941,-0.0011980507759207,0.0018879582604641,-5.35705737588635,0,869,112.93479882361294,136.93830961295757,0.9375776397515526,MARGINAL,False,False,False,,False,False,False,False,False,MARGINAL
17,#18 expected fantasy points,X3 luck residual (actual - expected),RB,carries,False,X4c,-0.4590407243526483,-0.7438585998944534,-0.1815701459928057,0.0105899806293642,11,-0.9254934655438244,0.3444863344217899,-0.5930128809185717,1.3346898185784106,7,0.003607578967145,-0.0026497927249626,0.009606147839885,7,0.0066774340970166,0.004775661533446,0.0087406290511703,,0,1441,49.5995640642275,65.09989479249572,0.8362108925118161,MARGINAL,True,False,True,56.0,False,True,False,False,False,BOARD-NEUTRAL
18,#18 expected fantasy points,X3 luck residual (actual - expected),WR,targets,False,X4c,-0.0207916531029258,-0.0544398331115538,0.0203654512959517,0.3131395816576811,11,-0.0863418370312614,0.0088772680167379,-0.1161008437067776,0.1923127383079358,7,-0.002848630057739,-0.0083327583852646,0.0014998639129242,7,-0.0009679467504181,-0.0016441722397552,-0.0003298409906495,,0,2271,24.08062396842206,31.431301032969213,0.8971724155362368,NULL,False,False,False,,False,False,False,False,False,NULL
19,#18 expected fantasy points,X3 luck residual (actual - expected),TE,targets,False,X4c,0.0450926556249116,-0.0100755858103641,0.1274455523944375,0.2790577697346163,11,0.2300935048632044,0.0097299441397039,-0.0573834697512895,0.1074548359425711,7,-0.0016927000657157,-0.011689720589052,0.0060150375939849,7,-0.0020885877794133,-0.0053439108797867,0.0007368940599533,,0,1041,19.59753520714121,28.2626723535697,0.9366296757937624,NULL,False,False,False,,False,False,False,False,False,NULL
20,#18 expected fantasy points,X4c xFP coverage CONTROL,QB,attempts,True,,1.8086542364802563e-14,-1.937843824800273e-14,5.684341886080804e-14,0.399603795763279,11,1.601503040090503e-14,-2.842170943040401e-13,-5.928971599392497e-13,-1.6240976817373718e-14,7,0.0,0.0,0.0,7,0.0,0.0,0.0,2.5837917664003645e-13,0,869,112.93479882361294,136.93830961295757,,NULL,False,False,False,,False,False,False,False,False,NULL
21,#18 expected fantasy points,X4c xFP coverage CONTROL,RB,carries,True,,-0.0057773878630827,-0.0207827127194701,0.0034505491302767,0.4369396646749799,11,-0.0116480617765137,-0.0162107066121939,-0.0642965174756785,0.0156643976391563,7,0.0,0.0,0.0,7,0.0,0.0,0.0,,0,1441,49.5995640642275,65.09989479249572,,NULL,False,False,False,,False,False,False,False,False,NULL
22,#18 expected fantasy points,X4c xFP coverage CONTROL,WR,targets,True,,-2.228520398520314e-14,-4.070279467007575e-14,-5.797382775860759e-15,0.0386205619819178,11,-9.254413014557542e-14,2.9944301007032794e-14,2.537652627714644e-15,5.684341886080804e-14,7,0.0,0.0,0.0,7,0.0,0.0,0.0,,0,2271,24.08062396842206,31.431301032969213,,MARGINAL,False,False,True,,False,False,False,False,False,MARGINAL
23,#18 expected fantasy points,X4c xFP coverage CONTROL,TE,targets,True,,9.043271182401277e-15,-2.7775761488803923e-14,4.553932988280642e-14,0.6536594253438099,11,4.614494163075145e-14,-5.12605830798358e-14,-2.832020332529542e-13,1.786507449911109e-13,7,0.0,0.0,0.0,7,0.0,0.0,0.0,,0,1041,19.59753520714121,28.2626723535697,,NULL,False,False,False,,False,False,False,False,False,NULL
