position,population,predictor,label,proxy,r_2022,r_2023,r_mean,base_mean,delta,n_2022,n_2023
WR,U,tpg,targets per game,False,0.5934221254653751,0.5613457566229391,0.577383941044157,0.604937168054422,-0.02755322701026497,204,210
WR,U,first_read_share,first-read target share  [PROXY],True,0.60442553432655,0.6103658263982537,0.6073956803624019,0.604937168054422,0.0024585123079798876,204,210
WR,U,catchable_share,catchable target share  [PROXY],True,0.6028760838397101,0.6084228024145114,0.6056494431271108,0.604937168054422,0.0007122750726887839,204,210
WR,U,catchable_rate,catchable rate  [PROXY],True,0.21873803587974935,0.2290017099837279,0.22386987293173863,0.604937168054422,-0.38106729512268334,204,210
WR,U,tprr,TPRR  [PROXY routes],True,0.4985639970238333,0.4153978401402568,0.45698091858204504,0.604937168054422,-0.14795624947237696,204,210
WR,U,yprr,YPRR  [PROXY routes],True,0.49424761964940206,0.5043234408512415,0.49928553025032174,0.604937168054422,-0.10565163780410025,204,210
WR,U,fdrr,1D per route run  [PROXY routes],True,0.5000822469700371,0.5008226470469372,0.5004524470084872,0.604937168054422,-0.10448472104593476,204,210
WR,U,fd_pg,1D per game,False,0.593147161701501,0.5853027053183552,0.589224933509928,0.604937168054422,-0.015712234544493997,204,210
WR,U,fdpt,1D per target,False,0.301624410723418,0.3994745840819583,0.35054949740268815,0.604937168054422,-0.25438767065173384,204,210
TE,S,fpg,prior FPG  [THE INCUMBENT -- Hoopes 0.68],False,0.6577540106951872,0.626585179526356,0.6421695951107715,0.6421695951107715,0.0,33,34
TE,S,tshare,target share,False,0.6176470588235294,0.45087853323147437,0.5342627960275019,0.6421695951107715,-0.10790679908326961,33,34
TE,S,tpg,targets per game,False,0.626222112991104,0.44819682674891015,0.5372094698700071,0.6421695951107715,-0.10496012524076448,33,34
TE,S,first_read_share,first-read target share  [PROXY],True,0.599264705882353,0.4007639419404125,0.5000143239113828,0.6421695951107715,-0.14215527119938876,33,34
TE,S,catchable_share,catchable target share  [PROXY],True,0.5618315508021391,0.5003819709702062,0.5311067608861726,0.6421695951107715,-0.11106283422459895,33,34
TE,S,catchable_rate,catchable rate  [PROXY],True,0.3379010695187166,0.2887055002672573,0.313303284892987,0.6421695951107715,-0.32886631021778456,33,34
TE,S,tprr,TPRR  [PROXY routes],True,0.36952169076751945,0.37866568914956006,0.37409368995853975,0.6829608656082515,-0.3088671756497118,30,32
TE,S,yprr,YPRR  [PROXY routes],True,0.47274749721913245,0.5362903225806451,0.5045189098998888,0.6829608656082515,-0.17844195570836274,30,32
TE,S,fdrr,1D per route run  [PROXY routes],True,0.3753058954393771,0.4109237536656892,0.3931148245525331,0.6829608656082515,-0.28984604105571843,30,32
TE,S,fd_pg,1D per game,False,0.5855411801270585,0.41164336585871975,0.4985922729928891,0.6421695951107715,-0.14357732211788243,33,34
TE,S,fdpt,1D per target,False,0.10213121925710326,0.10314004155702891,0.10263563040706608,0.6421695951107715,-0.5395339647037054,33,34
TE,U,fpg,prior FPG  [THE INCUMBENT -- Hoopes 0.68],False,0.5726307920276457,0.5883225796018162,0.580476685814731,0.580476685814731,0.0,98,95
TE,U,tshare,target share,False,0.6132641318471105,0.5891028769004492,0.6011835043737799,0.580476685814731,0.02070681855904888,98,95
TE,U,tpg,targets per game,False,0.5792981918724845,0.5378594426635667,0.5585788172680256,0.580476685814731,-0.02189786854670539,98,95
TE,U,first_read_share,first-read target share  [PROXY],True,0.595558808545204,0.5726919182115794,0.5841253633783917,0.580476685814731,0.0036486775636607183,98,95
TE,U,catchable_share,catchable target share  [PROXY],True,0.609963462940558,0.5977541304104773,0.6038587966755177,0.580476685814731,0.023382110860786676,98,95
TE,U,catchable_rate,catchable rate  [PROXY],True,0.17106622448623907,0.1195996496096383,0.14533293704793868,0.580476685814731,-0.4351437487667923,98,95
TE,U,tprr,TPRR  [PROXY routes],True,0.42644877279179966,0.3969695956052779,0.41170918419853875,0.580476685814731,-0.16876750161619225,98,95
TE,U,yprr,YPRR  [PROXY routes],True,0.453760102208627,0.44416392700125645,0.44896201460494173,0.580476685814731,-0.13151467120978927,98,95
TE,U,fdrr,1D per route run  [PROXY routes],True,0.45075882813763185,0.41946588378289623,0.43511235596026404,0.580476685814731,-0.14536432985446696,98,95
TE,U,fd_pg,1D per game,False,0.5945108262616478,0.54203758162836,0.5682742039450039,0.580476685814731,-0.012202481869727055,98,95
