idx,factor,arm,position,e1_comp,e1_d,e1_lo,e1_hi,e1_p,e1_n,e2_d,e2_lo,e2_hi,e2_n,full_d,full_lo,full_hi,proxy_reads,n_players,bh_10,bh_05,grade
11,#20 opportunity share,O1 share x pace reparameterisation,TE,targets,-0.03600092759188168,-0.062546757306786,-0.009688094786383892,0.030434685016949438,11,0.00219780219780219,-0.012987012987013016,0.016383616383616368,7,-0.0003033522292483871,-0.0025602998674004764,0.001918220132950408,0,1041,True,False,SURVIVES
12,#20 opportunity share,O2 share ablation,TE,targets,0.009155865252291435,-0.028360850743797704,0.044931177569511545,0.6602526042671935,11,-0.002457638878040878,-0.020168067226890733,0.013287606588566805,7,-0.0017122750431546924,-0.003708260359459836,0.00036950945340588,0,1041,False,False,NULL
13,#20 opportunity share,O1 share x pace reparameterisation,RB,carries,-0.08633636236211312,-0.2724303603915048,0.06825425588813752,0.3754974076315635,11,-0.01758289333641318,-0.030326559653767942,-0.004873981156739486,7,-0.00015151401186458917,-0.002620153384406416,0.0027639619730296357,0,1441,False,False,NULL
14,#20 opportunity share,O2 share ablation,RB,carries,-0.016842765379310135,-0.04980449972674613,0.0029373945355161074,0.3078232733483856,11,0.002388172655307489,0.00015236284219054857,0.005096806268818354,7,0.0003927394552873033,-0.0005762027139428679,0.0014781836326953335,0,1441,False,False,NULL
15,#28 vacated opportunity,V1 vacated share (PROXY),WR,targets,0.08181342205903035,-0.007483057149115298,0.1795496539471718,0.12627878018944935,11,-0.0006978941895227155,-0.006981763557315382,0.0059974475452290255,7,-0.0024894015334104643,-0.005198754920198109,-0.00010392510991454076,88,2271,False,False,NULL
16,#28 vacated opportunity,V0c free control: team volume,WR,targets,0.055255911934515206,-0.009081006342671458,0.12763134145409935,0.16962130613836635,11,-0.0008272941839711738,-0.0032337933997135964,0.0009102865112647907,7,0.0001378542200608916,-0.0014379381647752038,0.0015692847422750418,0,2271,False,False,NULL
17,#28 vacated opportunity,V1 vacated share (PROXY),TE,targets,0.044772860128012,0.010592735062089296,0.07728240353971216,0.0327006736266701,11,0.005683686798237854,0.001998001998001978,0.009693711860894476,7,-0.0026915873084613073,-0.004689219918418938,-0.000988777456201182,88,1041,True,False,HARMFUL
18,#28 vacated opportunity,V0c free control: team volume,TE,targets,-0.018153945366498968,-0.03639895551389798,0.0002857617154866123,0.09527227963232353,11,-0.005695714595046063,-0.015685724585056064,0.0,7,-0.0008844791608399915,-0.002590043728795308,0.0009751248191185259,0,1041,False,False,NULL
19,#28 vacated opportunity,V1 vacated share (PROXY),RB,carries,0.20313902238232373,0.11499289266027711,0.29631110327060745,0.0020229456909540734,11,-0.0010413506074250115,-0.0053484350811171056,0.0033170348043362846,7,-0.0031652191669791344,-0.006463890749288258,0.000451894872076209,88,1441,True,True,HARMFUL
20,#28 vacated opportunity,V0c free control: team volume,RB,carries,-0.09545722009360702,-0.22368947477227982,0.02064660558792556,0.17855736867922115,11,-0.005648114327292968,-0.008272147394696304,-0.0030090332761659295,7,-4.236768021305025e-05,-0.0014674261333795294,0.0015048908827145866,0,1441,False,False,NULL
21,#13 target-share stability,S1 stability-weighted share,WR,targets,-0.03475564330674401,-0.05850972498646967,-0.013939683131255475,0.016019197306383706,11,-0.0017478937076528414,-0.007916390851742611,0.0035370322459158388,7,0.000187972895610849,-0.0009180251040403239,0.0013028432404193467,0,2271,True,False,PROJECTION-ONLY
22,#13 target-share stability,S1 stability-weighted share,TE,targets,-0.044663630968838935,-0.09760975213114738,0.005808634808809402,0.13690755228430201,11,0.0014584312129024399,-0.026727704699840944,0.0271944083420684,7,0.0007442169706016844,-0.0008405783824540629,0.002285051577005523,0,1041,False,False,NULL
23,#13 target-share stability,S1 stability-weighted share,RB,targets,0.04338617515508196,-0.011709626978169909,0.10882655136046447,0.2187644540782619,11,-0.00041135220570591235,-0.005027182126108016,0.0028370822831214927,7,0.0007471073496618696,-0.0003398763824538154,0.0018243860326121089,0,1441,False,False,NULL
