column,target,n,spearman_rho,p_raw,abs_rho,rank,position
proj_carries,signed_resid,524,-0.3995790228643348,1.6570762256917276e-21,0.3995790228643348,6,RB
proj_rush_yards,signed_resid,524,-0.3943642242510284,6.053590809535085e-21,0.3943642242510284,7,RB
proj_rush_tds,signed_resid,524,-0.3877826719931014,3.006162922326075e-20,0.3877826719931014,8,RB
proj_bonus_points,signed_resid,524,-0.38756790476085035,3.165636344498559e-20,0.38756790476085035,9,RB
proj_rec_tds,signed_resid,524,-0.3797049219179505,2.046584114050927e-19,0.3797049219179505,10,RB
proj_games,signed_resid,524,-0.372902263666743,9.879845079950813e-19,0.372902263666743,11,RB
proj_fumbles_lost,signed_resid,524,-0.3590799280038163,2.1628739848831443e-17,0.3590799280038163,12,RB
tgt_1,signed_resid,524,-0.294729312268062,5.817615909884834e-12,0.294729312268062,13,RB
rec_1,signed_resid,524,-0.2918366006444754,9.53423505125698e-12,0.2918366006444754,14,RB
pts_1,signed_resid,524,-0.27648449798618946,1.1958452139176417e-10,0.27648449798618946,15,RB
recyds_1,signed_resid,524,-0.2736567765952931,1.8737227091440048e-10,0.2736567765952931,16,RB
carries_1,signed_resid,524,-0.2721455913225257,2.3769247168031916e-10,0.2721455913225257,17,RB
gshare_w,signed_resid,475,-0.26590318953231423,3.950511201361001e-09,0.26590318953231423,18,RB
proj_tpg,signed_resid,524,-0.260290984828301,1.4604338768538456e-09,0.260290984828301,19,RB
unexp_missed_share_1,signed_resid,524,0.26001289479447826,1.5223492890624455e-09,0.26001289479447826,20,RB
proj_cpg,signed_resid,524,-0.25860800786277843,1.8762474838414205e-09,0.25860800786277843,21,RB
missed_wks_1,signed_resid,524,0.25682538251509934,2.4417438226773855e-09,0.25682538251509934,22,RB
gshare_1,signed_resid,524,-0.25682538251509934,2.4417438226773855e-09,0.25682538251509934,23,RB
games_1,signed_resid,524,-0.25682538251509934,2.4417438226773855e-09,0.25682538251509934,24,RB
rushyds_1,signed_resid,524,-0.2486003044864322,8.025362475171542e-09,0.2486003044864322,25,RB
ppg_w,signed_resid,475,-0.24727106685506772,4.762351697578166e-08,0.24727106685506772,26,RB
rushtd_1,signed_resid,524,-0.23461367551846893,5.518202698437712e-08,0.23461367551846893,27,RB
evidence,signed_resid,524,-0.2305728675842921,9.421897628899463e-08,0.2305728675842921,28,RB
depth_first_share_1,signed_resid,524,-0.2266812327921212,1.5627720919449344e-07,0.2266812327921212,29,RB
offroster_share_1,signed_resid,524,0.20624932957248635,1.9237478839339204e-06,0.20624932957248635,30,RB
late4_share_1,signed_resid,524,-0.17879994603906366,3.849024261314164e-05,0.17879994603906366,31,RB
rectd_1,signed_resid,524,-0.1773302374491688,4.465447347569195e-05,0.1773302374491688,32,RB
chronic_missed_share,signed_resid,524,0.15114895217293503,0.0005172505772335491,0.15114895217293503,33,RB
miss1_x_endgap,signed_resid,524,0.15032761886530216,0.0005552578509040203,0.15032761886530216,34,RB
endgap_share_1,signed_resid,524,0.14195539125524145,0.0011209687248333973,0.14195539125524145,35,RB
played_thru_1,signed_resid,524,-0.14099961274545314,0.0012117420299186318,0.14099961274545314,36,RB
present_1,signed_resid,524,-0.11904495880874205,0.006366868213657085,0.11904495880874205,37,RB
gshare_max3,signed_resid,524,-0.11825934691024066,0.006725657817508327,0.11825934691024066,38,RB
age,signed_resid,524,0.1112193516515806,0.010841827290991703,0.1112193516515806,39,RB
ints_1,signed_resid,524,-0.08061324904904052,0.06519529316480771,0.08061324904904052,40,RB
inj_missed_share_1,signed_resid,524,-0.04412381020780624,0.31339727858947847,0.04412381020780624,41,RB
inj_out_wks_1,signed_resid,524,-0.04412381020780624,0.31339727858947847,0.04412381020780624,42,RB
rostered_absent_share_1,signed_resid,524,0.037269680262105136,0.3945469732945879,0.037269680262105136,43,RB
proj_ypc,signed_resid,524,-0.03429744797805426,0.4333569982847254,0.03429744797805426,44,RB
passyds_1,signed_resid,524,0.033096881098786175,0.4496371559894603,0.033096881098786175,45,RB
miss1_x_resolved,signed_resid,524,0.03150707627767901,0.4717181964472119,0.03150707627767901,46,RB
passtd_1,signed_resid,524,0.03101879180310335,0.47861779428168627,0.03101879180310335,47,RB
depth_chart_starter_wk1,signed_resid,524,0.027425883619598752,0.5310357348028836,0.027425883619598752,48,RB
proj_ypr,signed_resid,524,0.022025503411956464,0.6149334865188975,0.022025503411956464,49,RB
att_1,signed_resid,524,-0.018262549087749116,0.6766160228728699,0.018262549087749116,50,RB
NOISE_CONTROL,signed_resid,524,-0.012772351020031845,0.7705265947212492,0.012772351020031845,51,RB
wk1_injury_report_flag,signed_resid,524,-0.012044943864785725,0.7832602383165316,0.012044943864785725,52,RB
proj_catch_rate,signed_resid,524,-0.008870446519740621,0.8394688963233519,0.008870446519740621,53,RB
n_train_seasons,signed_resid,524,-0.006424247025352299,0.8833624576095809,0.006424247025352299,54,RB
average_pick,signed_resid,203,0.00539851531970738,0.9390669904044572,0.00539851531970738,55,RB
proj_apg,signed_resid,0,,,,56,RB
proj_attempts,signed_resid,0,,,,57,RB
proj_pass_yards,signed_resid,0,,,,58,RB
proj_pass_tds,signed_resid,0,,,,59,RB
proj_interceptions,signed_resid,0,,,,60,RB
proj_ypa,signed_resid,0,,,,61,RB
