run,position,season,n_board_vet,n_vet,rho_points,rho_games,rho_games_naive,mae_games,mae_games_naive,bias_games,sd_proj_games,sd_games,n_returning,rho_points_fullvet,mae_games_returning,bias_games_returning
A3k,RB,2023,52,128,0.351233671988389,0.3145319605060531,0.1058719238835192,4.179311465752477,3.3846153846153846,-2.674506824272653,1.9827228414737943,4.231293673788922,3,0.7329242974181776,,
A3k,RB,2024,46,112,0.3608498567813898,0.2816867832096549,0.1630869319584616,3.897485720306247,2.9347826086956523,-2.971888784676643,2.24352467704957,3.063598092165708,2,0.7804217663510841,,
A3k,TE,2020,16,85,0.3970588235294118,0.2322504648034895,0.2993153281298762,4.055525982580515,2.9375,-3.705706625217728,2.144811408472231,2.0879116360612584,1,0.6356697736201438,,
A3k,TE,2021,17,90,0.3651960784313726,0.1356729214608023,-0.3295191153109756,4.033434949546293,3.3529411764705883,-2.4993937929203245,1.406895680699671,3.305652074876969,0,0.675927634939241,,
A3k,TE,2022,12,89,0.2867132867132868,0.1903268559252242,0.0266671020514788,2.895079802409457,2.6666666666666665,-1.771168674717846,1.67626368425865,2.939198681424733,0,0.7927044324926114,,
A3k,TE,2023,17,89,0.5122549019607844,0.2552701933251374,0.3172789927697249,3.726530212107967,2.7058823529411766,-1.9873833612522191,1.9427831154288355,3.614656822526404,0,0.7721725714899863,,
A3k,TE,2024,16,86,0.1427520621935256,0.0788746370062215,-0.0418593013814238,3.071144902650856,3.25,-1.6219671980772348,1.7359294333936737,3.2113081446662823,0,0.7350102520019183,,
A3k,WR,2020,50,190,0.3714285714285713,0.2531831034209901,0.1118202668032083,3.598771899160614,3.06,-1.8926356196076568,2.778216319435033,3.9416240307771617,2,0.7502926027135562,,
A3k,WR,2021,58,197,0.4022025009319572,0.0566988724881995,0.0674830301133782,4.190458741230694,3.7413793103448274,-1.7798622074109758,2.618727455726169,4.065055105201334,2,0.7084175829472853,,
A3k,WR,2022,39,193,0.7152183824130041,0.4584049462071104,0.4045577416137662,3.472975744788578,2.282051282051282,-2.6639307588780494,2.9167984210814337,3.5145980903959875,2,0.7184163470097864,,
A3k,WR,2023,61,188,0.5762371264005225,0.1405496668481859,0.2743357555515462,4.35582176110858,3.1475409836065573,-3.7924206110830383,3.366970818632543,2.324634095170908,3,0.7814984568113217,,
A3k,WR,2024,54,190,0.4722407517677141,0.2387152852823514,0.1072139896004208,3.4536029817404788,2.9074074074074074,-1.777804797952568,1.89852052099238,3.3466810945207337,0,0.7981711391520135,,
A5,QB,2020,19,73,0.2543859649122807,-0.0274004609467334,0.17682985932324,4.667844659563509,2.421052631578948,-3.474698089981905,4.311697765049043,2.852806364814243,1,0.6137421706066107,,
A5,QB,2021,19,73,0.1684210526315789,-0.1340038885184135,0.176192207539082,3.8689954931478,3.3157894736842106,-1.7536560949441309,2.797667745296088,4.1555623038214495,2,0.6513543670636162,,
A5,QB,2022,14,77,0.3582417582417582,0.362305822041081,0.4901588640735833,3.455629683215604,2.0,-2.116797587947329,3.684993053932664,4.030495994190253,0,0.6205169743172062,,
A5,QB,2023,23,79,0.1788537549407114,0.1071878882141129,-0.1330087134802665,4.774596960236582,4.304347826086956,-1.492903820409818,3.291505844388785,4.474248941630586,1,0.5939361686340109,,
A5,QB,2024,21,85,0.3948051948051948,-0.0810570407446496,-0.1001128753550606,4.245035904477329,4.095238095238095,-2.9717577804821205,2.831955536958359,3.139247566447526,2,0.7514393533626654,,
A5,RB,2020,45,119,0.3508563899868247,-0.0479773895986983,-0.1360109334459793,4.989123952545033,4.911111111111111,-0.4598245075262805,4.13340588469549,4.615914499497003,2,0.5893647702319431,,
A5,RB,2021,59,118,0.6017300846095736,0.2096882018945794,0.1653207878492608,4.435248938188499,4.135593220338983,-2.187993255340115,3.2957635985580183,4.596065164430427,9,0.5294807203040758,5.787726064663746,-0.6828687320312944
A5,RB,2022,37,123,0.2574679943100995,0.060808249129891,0.0498908314872286,4.402579979362875,4.135135135135135,-2.634215565314302,2.4331820231757524,3.683021276996359,3,0.7184479151435312,,
A5,RB,2023,52,128,0.3267309826688295,0.222400723351884,0.1058719238835192,4.0640714330783645,3.3846153846153846,-2.2059469523096142,1.7039444257326182,4.231293673788922,3,0.7541417262797684,,
A5,RB,2024,46,112,0.4464522497420067,0.3996779975431895,0.1630869319584616,3.3973094144767724,2.9347826086956523,-2.409692397201808,1.6789510963972314,3.063598092165708,2,0.800714376692239,,
A5,TE,2020,16,85,0.5029411764705883,0.6143399391576173,0.2993153281298762,4.484979683419482,2.9375,-4.364891157328536,3.129119661313125,2.0879116360612584,1,0.5643447955507305,,
A5,TE,2021,17,90,0.142156862745098,0.0721929306855645,-0.3295191153109756,4.636275138512451,3.3529411764705883,-2.887786711160178,2.6851821915125,3.305652074876969,0,0.6537123409029836,,
A5,TE,2022,12,89,0.1748251748251748,0.0402614502918743,0.0266671020514788,3.2555257570053526,2.6666666666666665,-1.904210542325626,1.7387624402594104,2.939198681424733,0,0.7450785507443295,,
A5,TE,2023,17,89,0.6053921568627452,0.1622160341819838,0.3172789927697249,3.464820563553204,2.7058823529411766,-1.9860305401982377,2.3681464177177443,3.614656822526404,0,0.7545361602608033,,
A5,TE,2024,16,86,0.2649007339673671,0.1607256754089043,-0.0418593013814238,2.870418230040456,3.25,-1.6982649279002329,1.887783531867651,3.2113081446662823,0,0.7218634347562365,,
A5,WR,2020,50,190,0.4016806722689075,0.1933326652872568,0.1118202668032083,3.4213050392244178,3.06,-1.249966581053018,2.494549956296795,3.9416240307771617,2,0.7264224276811353,,
A5,WR,2021,58,197,0.2493194087995038,-0.1042143455076083,0.0674830301133782,4.347471124301674,3.7413793103448274,-1.6048636356512458,2.5199275210187952,4.065055105201334,2,0.6900310506534681,,
A5,WR,2022,39,193,0.6958854201938017,0.3217298448533606,0.4045577416137662,3.346337452407679,2.282051282051282,-2.0513599324649,2.2875181602599146,3.5145980903959875,2,0.7311824557699756,,
A5,WR,2023,61,188,0.5659778686093325,0.0989603691594033,0.2743357555515462,3.843271262312816,3.1475409836065573,-3.18761449345665,2.931756065148591,2.324634095170908,3,0.7980427245275644,,
A5,WR,2024,54,190,0.5037260097352766,0.1638767048647249,0.1072139896004208,3.6802164293048456,2.9074074074074074,-1.9900111518062888,2.0166835084249395,3.3466810945207337,0,0.7872650801077782,,
CTRL-A,QB,2018,19,65,-0.0842105263157894,0.2795287117715233,0.3043559099555122,4.226738632264696,3.263157894736842,-2.7168424520277266,3.776209868760412,3.93436454548016,1,0.6149548716823983,,
CTRL-A,QB,2019,19,72,0.3578947368421052,-0.0335664364063485,-0.2466679355379114,3.81754973117666,2.3157894736842106,-3.232491347139625,2.5779892123271533,1.848859796868452,1,0.6761919335821783,,
CTRL-A,QB,2020,19,73,0.3947368421052631,0.0097858789095476,0.17682985932324,3.8065126490774017,2.421052631578948,-2.5683277877371142,2.4570823069735708,2.852806364814243,1,0.7568731458199719,,
CTRL-A,QB,2021,19,73,0.1245614035087719,-0.1068409381430594,0.176192207539082,3.961307163545644,3.3157894736842106,-1.965536514474643,2.757628043501663,4.1555623038214495,2,0.7119570706900962,,
CTRL-A,QB,2022,14,77,0.4153846153846154,0.5760887605125264,0.4901588640735833,2.609282202364404,2.0,-1.2336892335478808,2.4935681208246825,4.030495994190253,0,0.740579977774305,,
CTRL-A,QB,2023,23,79,0.0622529644268774,-0.0085549018762437,-0.1330087134802665,4.585680060975074,4.304347826086956,-1.7147919118942074,2.880651414492321,4.474248941630586,1,0.6077211450681542,,
CTRL-A,QB,2024,21,85,0.4441558441558441,-0.0401935739229667,-0.1001128753550606,4.724641710752802,4.095238095238095,-3.512462135761873,3.56053607337707,3.139247566447526,2,0.7095214959657009,,
CTRL-A,RB,2018,29,120,0.4532019704433496,0.5028651839999814,0.3901764462173226,3.6870225384547295,3.1724137931034484,-2.1608979906380514,2.4482419802437665,4.427779563937799,3,0.6170861478540549,,
CTRL-A,RB,2019,35,118,0.3991596638655462,0.1444965810294852,0.1631325447172242,4.025374706226635,2.771428571428572,-3.591783929115295,1.8492059153586693,2.6179911289040705,1,0.6988857658556673,,
CTRL-A,RB,2020,45,119,0.414756258234519,-0.1253517136264746,-0.1360109334459793,4.506357216314474,4.911111111111111,-1.04745586729381,2.273487282664559,4.615914499497003,2,0.6602805435724546,,
CTRL-A,RB,2021,59,118,0.6481384077936435,0.2944038809952063,0.1653207878492608,4.115520214000362,4.135593220338983,-2.2301653435988302,2.63670446286097,4.596065164430427,9,0.597457468282109,5.236982103171164,-1.02310552454873
CTRL-A,RB,2022,37,123,0.3686581318160265,0.0828104386758953,0.0498908314872286,4.73483709704656,4.135135135135135,-3.655548838635762,2.4000262953512754,3.683021276996359,3,0.7078094153024649,,
CTRL-A,RB,2023,52,128,0.3722359771194399,0.2741349541159648,0.1058719238835192,4.277329784448823,3.3846153846153846,-2.7849689445603825,1.7870603933312632,4.231293673788922,3,0.7338682968338405,,
CTRL-A,RB,2024,46,112,0.4223380309757233,0.2822510345003041,0.1630869319584616,4.024873193160216,2.9347826086956523,-3.191066032646924,2.0405339032589733,3.063598092165708,2,0.7839059863761692,,
CTRL-A,TE,2018,11,89,0.2454545454545454,0.1043756138889901,0.2948839123097942,3.063820137320642,1.9090909090909087,-2.615596510754945,1.912493238915048,2.05703790890632,0,0.6164898924677821,,
CTRL-A,TE,2019,10,90,0.5757575757575757,-0.0795140497035704,0.6580731751816338,4.084941786204022,3.8,-1.146462934519174,2.7259834720560026,3.903844259188627,1,0.5684153309233928,,
CTRL-A,TE,2020,16,85,0.3647058823529411,-0.0059935603820255,0.2993153281298762,3.7180769953872463,2.9375,-3.1816377656347115,2.441814935312279,2.0879116360612584,1,0.6325912797213402,,
CTRL-A,TE,2021,17,90,0.375,0.179237621012436,-0.3295191153109756,3.805844813087336,3.3529411764705883,-2.0048274026921824,1.718846079177362,3.305652074876969,0,0.6709890662523593,,
CTRL-A,TE,2022,12,89,0.3496503496503497,0.2013072514593717,0.0266671020514788,2.6684714581320006,2.6666666666666665,-1.4048888518605291,1.7937141017898612,2.939198681424733,0,0.7834887384070233,,
CTRL-A,TE,2023,17,89,0.590686274509804,0.2225754887613266,0.3172789927697249,3.495744989163106,2.7058823529411766,-1.821147068738566,2.0778569921549965,3.614656822526404,0,0.7628992880783418,,
CTRL-A,TE,2024,16,86,0.2752024291772091,0.0699454328168379,-0.0418593013814238,3.008438491198022,3.25,-1.6521670205120889,1.7944824085633977,3.2113081446662823,0,0.7434719183933073,,
CTRL-A,WR,2018,40,186,0.6846474982905959,0.2772887626327066,0.0628205544384996,3.911184561092387,3.675,-2.610313705630299,2.894075612692724,3.065534211193866,4,0.7296088713566679,,
CTRL-A,WR,2019,49,185,0.5440816326530612,0.2204323957880555,0.1591940944103138,3.286751664652409,2.693877551020408,-2.2771041573494752,2.2678038556873115,3.4452944930885985,1,0.7442160810089276,,
CTRL-A,WR,2020,50,190,0.4534453781512604,0.2450619502202779,0.1118202668032083,3.645173513991341,3.06,-1.9335749275475465,2.7071426056995778,3.9416240307771617,2,0.7582867277839869,,
CTRL-A,WR,2021,58,197,0.4281957027130282,0.038300730890315,0.0674830301133782,4.169923308685955,3.7413793103448274,-1.772120274433084,2.453551742454242,4.065055105201334,2,0.712831374827708,,
CTRL-A,WR,2022,39,193,0.7384989128340331,0.4715708963375175,0.4045577416137662,3.430280889881452,2.282051282051282,-2.632714786436212,2.924102417619289,3.5145980903959875,2,0.7246509488816966,,
CTRL-A,WR,2023,61,188,0.5869458877547284,0.1613308038999557,0.2743357555515462,4.325043437385802,3.1475409836065573,-3.762440928795918,3.386957346573314,2.324634095170908,3,0.7780306999770846,,
CTRL-A,WR,2024,54,190,0.485543845025195,0.2286669740702388,0.1072139896004208,3.476147791576872,2.9074074074074074,-1.7729685509812836,1.9169240975480064,3.3466810945207337,0,0.7958854674754652,,
P0,QB,2018,19,65,-0.1385964912280701,0.182964247704997,0.3043559099555122,4.17869394611249,3.263157894736842,-2.51854900818895,3.768336784218253,3.93436454548016,1,0.6195787859730574,,
P0,QB,2019,19,72,0.3403508771929824,-0.1342657456253942,-0.2466679355379114,3.610268966147696,2.3157894736842106,-3.019074782426861,2.5911077174248573,1.848859796868452,1,0.6814151417749283,,
P0,QB,2020,19,73,0.4473684210526316,0.0313148125105525,0.17682985932324,3.7205176444947408,2.421052631578948,-2.4900673479284863,2.528656926480369,2.852806364814243,1,0.7650996495110104,,
P0,QB,2021,19,73,0.1649122807017544,-0.1077463698222379,0.176192207539082,3.687510456871032,3.3157894736842106,-1.742687284677742,2.512703631893083,4.1555623038214495,2,0.7156512169759696,,
P0,QB,2022,14,77,0.3934065934065934,0.5513349465842539,0.4901588640735833,2.506790776717089,2.0,-1.2162174131336732,2.770349204672008,4.030495994190253,0,0.7409892984723331,,
P0,QB,2023,23,79,0.0563241106719367,-0.0150968856639595,-0.1330087134802665,4.611984899816068,4.304347826086956,-1.792651002952128,2.91511998597636,4.474248941630586,1,0.6101906938730988,,
P0,QB,2024,21,85,0.4818181818181817,-0.0073688218858772,-0.1001128753550606,4.605968433162095,4.095238095238095,-3.36872206339227,3.6440762962289535,3.139247566447526,2,0.7265996864099421,,
P0,RB,2018,29,120,0.4433497536945811,0.4046651053975754,0.3901764462173226,3.7168332745138986,3.1724137931034484,-2.1984128973438937,2.561564788222156,4.427779563937799,3,0.6070499955625209,,
P0,RB,2019,35,118,0.4086834733893558,0.1295741324773604,0.1631325447172242,3.969736522576421,2.771428571428572,-3.5388966840485585,1.872083672125188,2.6179911289040705,1,0.6849146451956717,,
P0,RB,2020,45,119,0.4189723320158103,-0.120242088454829,-0.1360109334459793,4.530209806165336,4.911111111111111,-0.9863809556525536,2.338800795517713,4.615914499497003,2,0.6569982013478811,,
P0,RB,2021,59,118,0.6531065532226688,0.3028960180954772,0.1653207878492608,4.0682552114373385,4.135593220338983,-2.1477391680826217,2.6735715338809585,4.596065164430427,9,0.6019531007819228,5.267222971705583,-0.8938847325593632
P0,RB,2022,37,123,0.3639165481270744,0.0952622272651175,0.0498908314872286,4.710650624173153,4.135135135135135,-3.5943293241983123,2.574067345503302,3.683021276996359,3,0.7019797984345898,,
P0,RB,2023,52,128,0.3747972338427388,0.3067131850757134,0.1058719238835192,4.232433584409143,3.3846153846153846,-2.701318622227317,1.875440274608344,4.231293673788922,3,0.7329155898550332,,
P0,RB,2024,46,112,0.4137654570409066,0.2722825950321682,0.1630869319584616,3.964919677272517,2.9347826086956523,-3.078608471690847,2.0575953746695097,3.063598092165708,2,0.7858974134350784,,
P0,TE,2018,11,89,0.2727272727272727,0.1043756138889901,0.2948839123097942,3.1863001912188027,1.9090909090909087,-2.831729357481517,1.7752926320896518,2.05703790890632,0,0.6109463985520719,,
P0,TE,2019,10,90,0.5757575757575757,-0.055048188256318,0.6580731751816338,4.2103794534552295,3.8,-1.3420223780277345,2.819639579090905,3.903844259188627,1,0.5673003179043514,,
P0,TE,2020,16,85,0.3382352941176471,-0.0958969661124085,0.2993153281298762,3.704392095273196,2.9375,-3.140119384709708,2.409837013885115,2.0879116360612584,1,0.6301794660299209,,
P0,TE,2021,17,90,0.375,0.1979082065345648,-0.3295191153109756,3.757066508284072,3.3529411764705883,-1.9760585591264483,1.6732315389945949,3.305652074876969,0,0.6753151417355586,,
P0,TE,2022,12,89,0.3566433566433566,0.2525490972853936,0.0266671020514788,2.675200877957883,2.6666666666666665,-1.4891134924622278,1.6092224049558563,2.939198681424733,0,0.7807119947599664,,
P0,TE,2023,17,89,0.590686274509804,0.2112580910276999,0.3172789927697249,3.5551683769834903,2.7058823529411766,-1.7862735092504678,1.984254362473454,3.614656822526404,0,0.7658701733194798,,
P0,TE,2024,16,86,0.303164173318209,0.0714336335150686,-0.0418593013814238,3.0779645068539074,3.25,-1.628491811870509,1.7139319959560213,3.2113081446662823,0,0.7517442857602805,,
P0,WR,2018,40,186,0.6932782971180466,0.2692627553838954,0.0628205544384996,3.859561999438733,3.675,-2.4716426171872667,2.862317327655827,3.065534211193866,4,0.7295324632958063,,
P0,WR,2019,49,185,0.5578571428571428,0.2218450885690376,0.1591940944103138,3.2028948101435364,2.693877551020408,-2.208368319382197,2.337505236953364,3.4452944930885985,1,0.7450243657693993,,
P0,WR,2020,50,190,0.4672749099639856,0.2584495482238762,0.1118202668032083,3.561180447046295,3.06,-1.8503677132673813,2.73483756340589,3.9416240307771617,2,0.7539144864251607,,
P0,WR,2021,58,197,0.4518202932075401,0.0393350386803153,0.0674830301133782,4.187911763235824,3.7413793103448274,-1.70050279491573,2.4462209388008684,4.065055105201334,2,0.7204192008362543,,
P0,WR,2022,39,193,0.7376891552541712,0.4704214879927994,0.4045577416137662,3.4173534772799834,2.282051282051282,-2.61601836718766,2.9909298241262348,3.5145980903959875,2,0.7251570544039272,,
P0,WR,2023,61,188,0.5845397216232897,0.1502241103651347,0.2743357555515462,4.328577141935639,3.1475409836065573,-3.73901413157234,3.401696105533587,2.324634095170908,3,0.7795381488926705,,
P0,WR,2024,54,190,0.458937658510233,0.2353011872643363,0.1072139896004208,3.445015696073322,2.9074074074074074,-1.7241705431232517,1.9469813521279096,3.3466810945207337,0,0.7956999937407926,,
B0,QB,2018,19,65,-0.0807017543859649,0.2602158189582181,0.3043559099555122,4.1804645820226485,3.263157894736842,-2.6338457159423982,3.765639762257455,3.93436454548016,1,0.631045116982595,,
