span,variant,position,season,n_train,n_board_vet,n_vet,rho_points,rho_games,mae_games,rho_points_fullvet
2015,raw,RB,2019,4,35,118,0.37703081232492996,0.1502587146288205,4.154733594274758,0.7020267780432696
2015,raw,RB,2020,5,45,119,0.41936758893280623,-0.04784467206177251,4.490184345236623,0.6606754577118926
2015,raw,RB,2021,6,59,118,0.6559120941708241,0.28720466442231224,4.188338428721336,0.5862432730217877
2015,raw,RB,2022,7,37,123,0.34044570886676145,0.08486558824887376,4.789979438941,0.7092770660789194
2015,raw,RB,2023,8,52,128,0.3846153846153846,0.3048019288594082,4.23403843032612,0.7359739661100546
2015,raw,RB,2024,9,46,112,0.3853957879041027,0.28488420719000046,3.980556848154001,0.7834092656248985
2015,raw,WR,2018,3,40,186,0.6495614247963943,0.2702415367557017,3.934951669972867,0.7171633937147304
2015,raw,WR,2019,4,49,185,0.561938775510204,0.22137419097537686,3.305908238146503,0.7440653045893332
2015,raw,WR,2020,5,50,190,0.44432172869147657,0.24378225335228695,3.6761607706036377,0.7513029364951984
2015,raw,WR,2021,6,58,197,0.4087546334519194,0.030997891039706658,4.239883728532958,0.713568896300285
2015,raw,WR,2022,7,39,193,0.7134976475557977,0.4726158130145339,3.477452817038728,0.7267749958808029
2015,raw,WR,2023,8,61,188,0.5785375269877224,0.15076458206999213,4.365611582089276,0.7798896123896354
2015,raw,WR,2024,9,54,190,0.4884407937001765,0.23095597160504436,3.495252058820572,0.7945381790627556
2015,raw,TE,2018,3,11,89,0.3454545454545455,0.15904855449750882,3.2632095549645204,0.586344992323656
2015,raw,TE,2019,4,10,90,0.5757575757575757,-0.07951404970357048,4.364996898783438,0.5840754391460484
2015,raw,TE,2020,5,16,85,0.30882352941176466,-0.10638569678095326,3.8557160561696318,0.620277304126126
2015,raw,TE,2021,6,17,90,0.411764705882353,0.19790820653456484,3.8325023471207498,0.6757207115596185
2015,raw,TE,2022,7,12,89,0.2657342657342658,0.25254909728539365,2.7868205731830433,0.7789152782824591
2015,raw,TE,2023,8,17,89,0.6029411764705883,0.24646777286564986,3.5522416285780563,0.7685834673547388
2015,raw,TE,2024,9,16,86,0.2913908073641038,0.08631564049737454,3.0338473119932674,0.7369411020509601
2010,raw,QB,2018,8,19,65,-0.12982456140350876,0.25106760657296817,4.270659346262266,0.6211223305320336
2010,raw,QB,2019,9,19,72,0.3245614035087719,-0.07305636159028805,3.8293592663262817,0.6712202623315487
2010,raw,QB,2020,10,19,73,0.39649122807017545,-0.031314812510552514,3.8656964574199435,0.7562837532313174
2010,raw,QB,2021,11,19,73,0.12456140350877193,-0.08873230455949008,3.996104175066526,0.7155576942851879
2010,raw,QB,2022,12,14,77,0.4153846153846154,0.5108287056107168,2.679871225300595,0.7410553179397571
2010,raw,QB,2023,13,23,79,0.06225296442687748,-0.02012918088527943,4.587120250328456,0.605469368973326
2010,raw,QB,2024,14,21,85,0.43376623376623374,-0.057610789289585684,4.749091073618253,0.707728518057326
2010,raw,RB,2018,8,29,120,0.47832512315270925,0.5127104360963666,3.6019028340622787,0.6326600298169864
2010,raw,RB,2019,9,35,118,0.41316526610644266,0.12706243321611177,3.922094192912102,0.6995226681972777
2010,raw,RB,2020,10,45,119,0.41462450592885375,-0.12747519421728848,4.514839185973653,0.6595014008237469
2010,raw,RB,2021,11,59,118,0.6503594610442666,0.2840311322187508,4.106027132713527,0.5941133922091255
2010,raw,RB,2022,12,37,123,0.355144618302513,0.05863220840556093,4.688268751471776,0.7050749842752515
2010,raw,RB,2023,13,52,128,0.36762571501750196,0.2646221106757182,4.209246111427918,0.7341975342787491
2010,raw,RB,2024,14,46,112,0.4149372477226441,0.2688970872882729,3.9393118656009647,0.7833851100302118
2010,raw,WR,2018,8,40,186,0.6611942406073061,0.2758205905749972,3.84102497864585,0.7268103688704516
2010,raw,WR,2019,9,49,185,0.5546938775510204,0.2273912157832635,3.235009270620748,0.7474947478655858
2010,raw,WR,2020,10,50,190,0.4338535414165666,0.2402876965204654,3.5922591360314367,0.7596801135157696
2010,raw,WR,2021,11,58,197,0.4042327391775793,0.036545541913344755,4.130222857350736,0.7130903404777601
2010,raw,WR,2022,12,39,193,0.7284781627832423,0.464674446269209,3.372278957856096,0.7269768282942366
2010,raw,WR,2023,13,61,188,0.5884001639880158,0.1609794972917984,4.284211002385628,0.777752868426733
2010,raw,WR,2024,14,54,190,0.4924812747468613,0.2286669740702388,3.4403085599811827,0.799356986504806
2010,raw,TE,2018,8,11,89,0.21818181818181823,0.10437561388899017,2.994597634104146,0.6265611469419762
2010,raw,TE,2019,9,10,90,0.6121212121212121,-0.07951404970357048,4.096072240969704,0.5676997255529633
2010,raw,TE,2020,10,16,85,0.3058823529411765,-0.10638569678095326,3.624564424361969,0.6308657544786987
2010,raw,TE,2021,11,17,90,0.36274509803921573,0.22902584907144607,3.691122557895334,0.678347291916296
2010,raw,TE,2022,12,12,89,0.31468531468531474,0.25254909728539365,2.5576472624716446,0.7781587660814034
2010,raw,TE,2023,13,17,89,0.6102941176470589,0.22257548876132666,3.385154349235114,0.7590182472430981
2010,raw,TE,2024,14,16,86,0.3267109052264194,0.05952802792922382,2.9686271174266334,0.7534290470775817
2006,raw,QB,2018,12,19,65,-0.06842105263157894,0.231754713759663,4.379422693335588,0.6371310926722727
2006,raw,QB,2019,13,19,72,0.32105263157894737,-0.04146442144313646,4.047362160244325,0.682586854479489
2006,raw,QB,2020,14,19,73,0.4122807017543859,-0.009785878909547662,3.9807225078649666,0.7585362694292508
2006,raw,QB,2021,15,19,73,0.13684210526315788,-0.08058341944688384,4.061556438742619,0.716664379459437
2006,raw,QB,2022,16,14,77,0.4197802197802198,0.4905755851239483,2.7765959145555117,0.7415042503182395
2006,raw,QB,2023,17,23,79,0.05533596837944664,-0.004025836177055886,4.656368147340044,0.6055308929103432
2006,raw,QB,2024,18,21,85,0.43376623376623374,-0.05225164609985679,4.809047673003056,0.7080588405077172
2006,raw,RB,2018,12,29,120,0.45566502463054176,0.4384923818313092,3.5161523777791817,0.6309326430912208
2006,raw,RB,2019,13,35,118,0.41092436974789925,0.13843895339941478,3.8539660950805965,0.7061375915412217
2006,raw,RB,2020,14,45,119,0.41436100131752307,-0.0861336814648831,4.4900037474422785,0.6629090293527553
2006,raw,RB,2021,15,59,118,0.6417674918905407,0.26252163617238977,4.145254380664216,0.5923986735035044
2006,raw,RB,2022,16,37,123,0.3247984826932195,0.06044557567583601,4.739176136810108,0.703066279018294
2006,raw,RB,2023,17,52,128,0.38171262699564584,0.2687921242385661,4.135282778628023,0.7394165284498069
2006,raw,RB,2024,18,46,112,0.3984705049845428,0.2710287032751699,3.8852344872629594,0.7788392801018572
2006,raw,WR,2018,12,40,186,0.6611942406073061,0.2758205905749972,3.8444314546568408,0.7266851296344613
2006,raw,WR,2019,13,49,185,0.5546938775510204,0.22592620104743025,3.2356699055523843,0.7473314867743053
2006,raw,WR,2020,14,50,190,0.432124849939976,0.2402876965204654,3.5934150903434054,0.759503499655499
2006,raw,WR,2021,15,58,197,0.4028177246427518,0.038206702909405886,4.1301513933158684,0.713394309304803
2006,raw,WR,2022,16,39,193,0.7284781627832423,0.464674446269209,3.37347780927302,0.7269650467635194
2006,raw,WR,2023,17,61,188,0.5864699428056528,0.1609794972917984,4.2847400738566535,0.7775481504422632
2006,raw,WR,2024,18,54,190,0.4929386876955426,0.2286669740702388,3.4406631183850545,0.7993870047263212
2006,raw,TE,2018,12,11,89,0.21818181818181823,0.10437561388899017,2.994983383386771,0.6275768802992026
2006,raw,TE,2019,13,10,90,0.6121212121212121,-0.07951404970357048,4.094945724303683,0.5683321209965987
2006,raw,TE,2020,14,16,85,0.3058823529411765,-0.10638569678095326,3.6265214994750834,0.6312579193065718
2006,raw,TE,2021,15,17,90,0.36274509803921573,0.22902584907144607,3.6926687978609523,0.678347291916296
2006,raw,TE,2022,16,12,89,0.31468531468531474,0.25254909728539365,2.558854514224233,0.7781587660814034
2006,raw,TE,2023,17,17,89,0.6102941176470589,0.22257548876132666,3.3853674623586394,0.7590182472430981
2006,raw,TE,2024,18,16,86,0.3267109052264194,0.05952802792922382,2.969394444141316,0.7534290470775817
2002,raw,QB,2018,16,19,65,-0.12105263157894736,0.2276888415884408,4.355829017375575,0.6459072460218804
2002,raw,QB,2019,17,19,72,0.3385964912280702,-0.06120938403510621,3.991389678393969,0.6842460071482523
2002,raw,QB,2020,18,19,73,0.431578947368421,-0.009785878909547662,3.940375591877421,0.753604364592135
2002,raw,QB,2021,19,19,73,0.15263157894736842,-0.08963773623866855,4.058358810928713,0.7065327546247631
2002,raw,QB,2022,20,14,77,0.5032967032967033,0.5108287056107168,2.775764969826905,0.7384937626037099
