ecr_rank,player,pos,pos_rank,team,tier,bye,rank_min,rank_max,rank_std,rank_ave,ecr_delta,eligibility
720,Montrell Johnson Jr.,RB,RB181,FA,14,,319,765,189.58,579.33,48,RB
721,Haynes King,QB,QB81,CAR,14,5,477,658,76.09,580.33,,QB
722,Ja'Quinden Jackson,RB,RB182,FA,14,,386,813,176.21,581.33,,RB
723,Austin Trammell,WR,WR242,JAC,14,7,391,913,191.81,674.75,,WR
724,Drake Dabney,TE,TE152,GB,14,11,238,553,157.50,395.50,-27,TE
725,Jack Strand,QB,QB82,ATL,14,11,456,680,93.77,582.67,,QB
726,Will Howard,QB,QB83,PIT,14,9,461,665,87.80,582.67,,QB
727,Jaret Patterson,RB,RB183,FA,14,,485,695,86.20,583.67,-42,RB
728,Matt Gay,K,K36,LV,14,13,374,423,24.50,398.50,,K
729,Trayveon Williams,RB,RB184,FA,14,,418,741,132.04,584.33,21,RB
730,Jaheim Bell,TE,TE153,FA,14,,396,689,133.66,584.67,-18,TE
731,Sam Ehlinger,QB,QB84,DEN,14,10,483,656,74.53,586.33,,QB
732,Jashaun Corbin,RB,RB185,FA,14,,390,759,151.73,587.33,27,RB
733,Jonathan Williams,RB,RB186,FA,14,,333,775,186.86,588.33,,RB
734,Dylan Drummond,WR,WR243,ATL,14,11,490,901,156.68,680.25,,WR
735,Wendell Smallwood,RB,RB187,FA,14,,335,778,186.84,589.67,,RB
736,Ronnie Bell,WR,WR244,LV,14,13,590,876,115.09,682.00,-45,WR
737,Nick Bawden,RB,RB188,FA,14,,334,787,190.56,593.00,,RB
738,Jaren Kanak,TE,TE154,TEN,14,9,553,666,51.70,593.00,29,TE
739,Joe Fagnano,QB,QB85,BAL,14,13,498,666,70.43,593.33,,QB
740,Charlie Jones,WR,WR245,NYG,14,8,587,889,119.75,684.00,25,WR
741,Braxton Berrios,WR,WR246,NYG,14,8,486,892,147.41,684.50,,WR
742,Jordan Akins,TE,TE155,FA,14,,533,672,57.73,595.00,44,TE
743,Coleman Bennett,RB,RB189,FA,14,,525,819,126.66,685.75,,RB
744,Michael Woods II,WR,WR247,DEN,14,10,377,894,218.21,596.33,-75,WR
745,Harrison Bryant,TE,TE156,FA,14,,531,677,60.42,597.00,47,TE
746,Gus Edwards,RB,RB190,FA,14,,360,762,172.40,598.33,24,RB
747,Athan Kaliakmanis,QB,QB86,WAS,14,7,504,672,70.33,599.00,,QB
748,Riley Patterson,K,K37,MIA,14,6,382,467,42.50,424.50,,K
749,Kenny McIntosh,RB,RB191,FA,14,,464,749,116.52,602.00,,RB
750,Nick Mullens,QB,QB87,JAC,14,7,489,700,86.85,602.33,,QB
751,Juice Wells Jr.,WR,WR248,FA,14,,226,870,274.18,603.00,101,WR
752,Dare Ogunbowale,RB,RB192,LV,14,13,448,746,122.02,603.67,,RB
753,Michael Bandy,WR,WR249,DEN,14,10,350,855,206.18,604.33,-27,WR
754,Joel Wilson,TE,TE157,TEN,14,9,456,683,106.08,606.00,-44,TE
755,Michael Briscoe,WR,WR250,MIN,14,6,382,897,215.42,606.33,-52,WR
756,Cole Payton,QB,QB88,PHI,14,10,513,685,71.45,608.33,,QB
757,Zack Moss,RB,RB193,FA,14,,468,758,118.55,608.67,26,RB
758,James Mitchell,TE,TE158,DAL,14,14,560,680,51.55,608.67,19,TE
759,D'Onta Foreman,RB,RB194,FA,14,,445,769,132.34,610.00,31,RB
760,Tanner Conner,TE,TE159,FA,14,,421,706,134.12,610.67,-37,TE
761,Max Brosmer,QB,QB89,MIN,14,6,531,689,64.59,612.33,,QB
762,Roman Hemby,RB,RB195,LV,14,13,552,706,67.14,612.33,,RB
763,Isaiah Hodgins,WR,WR251,FA,14,,581,922,131.60,698.75,-58,WR
764,Carter Runyon,TE,TE160,LV,14,13,567,697,57.51,616.33,17,TE
765,Johnny Wilson,WR,WR252,PHI,14,10,522,916,141.59,701.50,105,WR
766,Joshua Simon,TE,TE161,WAS,14,7,477,692,99.97,618.33,-42,TE
767,Josh Johnson,QB,QB90,CIN,14,6,537,691,63.22,618.67,,QB
768,Tahj Washington,WR,WR253,FA,14,,591,911,123.10,704.00,-26,WR
769,Bub Means,WR,WR254,FA,14,,574,917,133.71,704.75,,WR
770,Andrew Beck,RB,RB196,NYJ,14,13,431,773,142.84,623.33,-36,RB
771,Ty Pezza,TE,TE162,BAL,14,13,483,703,99.74,623.67,-45,TE
772,Desmond Ridder,QB,QB91,FA,14,,528,713,75.66,623.67,,QB
773,Michael Wortham,WR,WR255,JAC,14,7,317,881,233.02,624.33,-63,WR
774,Robert Tonyan,TE,TE163,PIT,14,9,350,570,110.00,460.00,70,TE
775,Noah Togiai,TE,TE164,FA,14,,571,719,66.13,626.00,43,TE
776,Bailey Zappe,QB,QB92,NYJ,14,13,571,688,47.81,628.00,,QB
777,Darrynton Evans,RB,RB197,FA,14,,400,804,169.19,628.67,28,RB
778,Peyton Hendershot,TE,TE165,FA,14,,572,728,69.50,630.33,,TE
779,Tyrion Davis-Price,RB,RB198,FA,14,,481,807,133.79,634.33,31,RB
780,Zach Gentry,TE,TE166,FA,14,,576,737,72.82,634.33,,TE
781,D'Ernest Johnson,RB,RB199,FA,14,,443,825,156.21,640.33,,RB
782,Jonathan Ward,RB,RB200,BAL,14,13,462,793,136.47,641.00,60,RB
783,Gary Brightwell,RB,RB201,FA,14,,506,796,119.02,642.33,-24,RB
784,John Michael Gyllenborg,TE,TE167,KC,14,5,474,746,121.96,645.67,-25,TE
785,Bryson Nesbit,TE,TE168,MIN,14,6,506,734,100.43,646.67,-59,TE
786,Chase Edmonds,RB,RB202,WAS,14,7,441,842,163.99,648.33,27,RB
787,Noah Brown,WR,WR256,FA,14,,522,820,125.46,649.33,40,WR
788,Jason Brownlee,WR,WR257,FA,14,,584,929,134.81,726.25,-26,WR
789,Dillon Johnson,RB,RB203,FA,15,,451,844,160.53,651.33,,RB
790,Salvon Ahmed,RB,RB204,CHI,15,10,377,790,194.22,651.67,-40,RB
791,Anthony Smith,WR,WR258,DAL,15,14,484,860,156.17,651.67,80,WR
792,Coleman Owen,WR,WR259,IND,15,13,422,898,194.58,653.00,-76,WR
793,Clyde Edwards-Helaire,RB,RB205,FA,15,,442,837,162.44,653.33,,RB
794,Justin Watson,WR,WR260,FA,15,,499,885,165.17,657.00,-81,WR
795,Jeff Wilson Jr.,RB,RB206,FA,15,,461,840,155.06,657.67,,RB
796,Jackson Meeks,WR,WR261,DET,15,6,425,874,184.40,663.67,109,"TE,WR"
797,Lewis Bond,WR,WR262,HOU,15,8,493,872,156.84,664.33,87,WR
798,Shane Zylstra,TE,TE169,NE,15,11,282,757,237.50,519.50,,TE
799,Lake McRee,TE,TE170,PIT,15,9,538,743,90.58,665.00,,TE
800,Curtis Samuel,WR,WR263,FA,15,,534,836,126.39,665.33,37,WR
801,DeAndre Carter,WR,WR264,FA,15,,501,940,191.60,737.75,,WR
802,Logan Thomas,TE,TE171,FA,15,,377,923,224.15,666.67,,TE
803,Patrick Herbert,TE,TE172,LAC,15,7,558,756,81.98,666.67,,TE
804,Alex Bachman,WR,WR265,LAR,15,11,414,893,196.53,667.33,,WR
805,JaMycal Hasty,RB,RB207,FA,15,,459,873,169.14,670.67,-39,RB
806,Collin Hill,QB,QB93,FA,15,,485,578,46.50,531.50,,QB
807,Trey Palmer,WR,WR266,NO,15,8,533,928,154.20,748.25,54,WR
808,Tejhaun Palmer,WR,WR267,FA,15,,594,961,137.02,751.25,,WR
809,Princeton Fant,TE,TE173,DAL,15,14,545,766,97.52,681.67,-46,TE
810,Brady Cook,QB,QB94,MIA,15,6,481,615,67.00,548.00,,QB
811,Tre Watson,TE,TE174,MIA,15,6,535,772,105.93,684.00,-35,TE
812,Myles Gaskin,RB,RB208,FA,15,,473,863,160.95,684.67,,RB
813,Ross Dwelley,TE,TE175,FA,15,,417,932,210.95,686.67,,TE
814,Gage Larvadain,WR,WR268,FA,15,,525,904,159.54,687.00,-27,WR
815,Stetson Bennett IV,QB,QB95,LAR,15,11,471,637,83.00,554.00,,QB
816,Malik Taylor,WR,WR269,FA,15,,488,899,167.86,690.00,,WR
817,Anthony McFarland Jr.,RB,RB209,FA,15,,331,931,259.08,690.67,,RB
818,Jordan Waters,RB,RB210,LAR,15,11,524,781,117.99,690.67,,RB
819,Thomas Gordon,TE,TE176,DET,15,6,541,768,105.85,690.67,-30,TE
820,Chip Trayanum,RB,RB211,NYJ,15,13,608,801,80.96,691.33,-43,RB
821,Chris Myarick,TE,TE177,LV,15,13,536,798,113.57,694.00,,TE
822,Cam Grandy,TE,TE178,MIN,15,6,576,754,83.91,694.67,-18,TE
823,Carson Towt,TE,TE179,IND,15,13,543,777,107.81,695.33,-26,TE
824,Messiah Swinson,TE,TE180,CLE,15,11,568,761,90.98,696.67,,TE
825,Cedrick Wilson Jr.,WR,WR270,FA,15,,592,910,148.74,699.67,-89,WR
826,Brandon Allen,QB,QB96,FA,15,,522,623,50.50,572.50,,QB
827,Bisi Johnson,WR,WR271,FA,15,,506,906,163.45,701.00,,WR
828,Behren Morton,QB,QB97,NE,15,11,492,663,85.50,577.50,,QB
829,Jordan Mims,RB,RB212,FA,15,,364,912,242.23,703.67,,RB
830,Jameson Geers,TE,TE181,ARI,15,14,548,792,110.82,704.33,-26,TE
831,Zach Horton,TE,TE182,FA,15,,595,783,80.02,705.00,-47,TE
832,Evan Svoboda,TE,TE183,LAC,15,7,560,789,103.36,705.67,,TE
833,Treyton Welch,TE,TE184,NO,15,8,569,786,97.13,705.67,,TE
834,Kurtis Rourke,QB,QB98,SF,15,8,495,669,87.00,582.00,,QB
835,Luke Altmyer,QB,QB99,DET,15,6,519,646,63.50,582.50,,QB
836,Cody White,WR,WR272,FA,15,,577,903,140.88,707.33,-47,WR
837,Kentrel Bullock,RB,RB213,CIN,15,6,595,772,79.73,707.33,-23,RB
838,Quentin Moore,TE,TE185,WAS,15,7,561,812,107.16,708.67,-43,TE
839,DJ Rogers,TE,TE186,DAL,15,14,562,818,108.15,709.67,-51,TE
840,Sean Clifford,QB,QB100,SF,15,8,516,660,72.00,588.00,,QB
841,Cooper Rush,QB,QB101,ATL,15,11,475,703,114.00,589.00,,QB
842,Britain Covey,WR,WR273,FA,15,,614,888,124.72,712.00,,WR
843,Gabe Davis,WR,WR274,FA,15,,577,851,111.88,712.33,119,WR
844,Graham Mertz,QB,QB102,HOU,15,8,534,654,60.00,594.00,,QB
845,Jimmy Holiday,WR,WR275,KC,15,5,425,953,218.67,715.00,-62,WR
846,Jimmy Garoppolo,QB,QB103,LAR,15,11,473,718,122.50,595.50,,QB
847,Anthony Firkser,TE,TE187,FA,15,,516,907,159.75,716.00,30,TE
848,Trenton Irwin,WR,WR276,FA,15,,621,900,130.13,716.00,97,WR
849,Deuce Vaughn,RB,RB214,FA,15,,450,869,189.81,717.67,,RB
850,Lucas Scott,RB,RB215,FA,15,,467,859,177.73,717.67,,RB
851,Cody Schrader,RB,RB216,DEN,15,10,589,783,90.98,717.67,-19,RB
852,Kyle Trask,QB,QB104,FA,15,,510,697,93.50,603.50,,QB
853,Jase McClellan,RB,RB217,FA,15,,397,921,231.19,721.00,23,RB
854,Andrew Armstrong,WR,WR277,KC,15,5,446,909,199.82,723.33,,WR
855,Sean McKeon,TE,TE188,IND,15,13,573,821,108.54,724.67,,TE
856,Josh Reynolds,WR,WR278,FA,15,,384,919,243.53,727.67,73,WR
857,Tucker Fisk,TE,TE189,FA,15,,518,935,170.25,728.00,,TE
858,Dorian Thompson-Robinson,QB,QB105,FA,15,,525,707,91.00,616.00,,QB
859,RJ Maryland,TE,TE190,GB,15,11,572,826,112.04,729.00,,TE
860,DJ Uiagalelei,QB,QB106,LAC,15,7,560,679,59.50,619.50,,QB
861,Sam Hartman,QB,QB107,WAS,15,7,550,690,70.00,620.00,,QB
862,Nikola Kalinic,TE,TE191,CHI,15,10,573,832,113.50,731.67,,TE
863,Geoff Swaim,TE,TE192,FA,15,,523,936,168.71,733.67,,TE
864,Brandon Smith,WR,WR279,PIT,15,9,430,955,222.73,735.33,,WR
865,Devin Leary,QB,QB108,FA,15,,544,714,85.00,629.00,,QB
866,Davon Booth,RB,RB218,IND,15,13,613,816,89.12,737.67,-23,RB
867,Joey Aguilar,QB,QB109,JAC,15,7,574,686,56.00,630.00,,QB
868,Blake Watson,RB,RB219,FA,15,,439,922,213.47,738.33,,RB
869,Shane Buechele,QB,QB110,BUF,15,7,540,723,91.50,631.50,,QB
870,Feleipe Franks,TE,TE193,CAR,15,5,555,708,76.50,631.50,,TE
871,Matt Barkley,QB,QB111,FA,15,,547,720,86.50,633.50,,QB
872,Dillon Bell,WR,WR280,MIN,15,6,451,923,207.10,740.67,47,WR
873,Allen Lazard,WR,WR281,FA,15,,629,918,126.45,741.33,,WR
874,Samori Toure,WR,WR282,FA,15,,634,921,127.47,742.00,,WR
875,Jesper Horsted,TE,TE194,FA,15,,540,937,162.18,742.67,,TE
876,Chris Evans,RB,RB220,FA,15,,422,852,215.00,637.00,,RB
877,Matt Corral,QB,QB112,FA,15,,553,721,84.00,637.00,,QB
878,Dontae Fleming,WR,WR283,FA,15,,448,940,213.10,744.33,,WR
879,Kaden Prather,WR,WR284,FA,15,,485,925,188.47,745.33,,WR
880,Brandon Powell,WR,WR285,FA,15,,632,920,125.32,745.33,,WR
881,Michael Jacobson,TE,TE195,FA,15,,542,938,161.86,745.67,,TE
882,Byron Pringle,WR,WR286,FA,15,,635,926,125.76,751.33,,WR
883,Brycen Hopkins,TE,TE196,FA,15,,550,943,160.65,752.33,,TE
