overall_rank,player,position,projected_points,vbd,vbd_lo95,vbd_hi95,consensus_rank,delta_vs_consensus
208,Tim Patrick,WR,87.95,-35.49,nan,nan,272,64
209,Joshua Palmer,WR,87.53,-35.91,nan,nan,274,65
210,Sean Tucker,RB,98.5,-35.98,nan,nan,185,-25
211,Darnell Washington,TE,71.19,-36.11,nan,nan,273,62
212,Isaiah Bond,WR,87.11,-36.33,nan,nan,277,65
213,Malik Willis,QB,208.66,-36.64,nan,nan,126,-87
214,Jalen Tolbert,WR,86.7,-36.74,nan,nan,280,66
215,Jaylen Wright,RB,97.62,-36.86,nan,nan,200,-15
216,Michael Mayer,TE,70.35,-36.94,nan,nan,293,77
217,Brandin Cooks,WR,86.29,-37.15,nan,nan,281,64
218,Kendrick Bourne,WR,85.88,-37.56,nan,nan,283,65
219,Justice Hill,RB,96.76,-37.73,nan,nan,204,-15
220,Ja'Tavion Sanders,TE,69.54,-37.75,nan,nan,304,84
221,Olamide Zaccheaus,WR,85.48,-37.96,nan,nan,285,64
222,Cedric Tillman,WR,85.08,-38.36,nan,nan,286,64
223,Tyler Higbee,TE,68.75,-38.54,nan,nan,307,84
224,Ollie Gordon II,RB,95.91,-38.58,nan,nan,206,-18
225,Luke McCaffrey,WR,84.68,-38.75,nan,nan,288,63
226,C.J. Stroud,QB,206.37,-38.94,nan,nan,129,-97
227,Tez Johnson,WR,84.29,-39.15,nan,nan,289,62
228,Erick All Jr.,TE,67.98,-39.31,nan,nan,308,80
229,MarShawn Lloyd,RB,95.07,-39.42,nan,nan,209,-20
230,Calvin Austin III,WR,83.91,-39.53,nan,nan,290,60
231,KaVontae Turpin,WR,83.52,-39.92,nan,nan,297,66
232,Elijah Arroyo,TE,67.22,-40.07,nan,nan,313,81
233,Ty Johnson,RB,94.25,-40.24,nan,nan,218,-15
234,Jalen Royals,WR,83.14,-40.3,nan,nan,299,65
235,Devontez Walker,WR,82.77,-40.67,nan,nan,300,65
236,John Bates,TE,66.49,-40.8,nan,nan,320,84
237,Xavier Restrepo,WR,82.39,-41.05,nan,nan,303,66
238,Trey Benson,RB,93.44,-41.05,nan,nan,219,-19
239,Sam Darnold,QB,204.17,-41.13,nan,nan,131,-108
240,Treylon Burks,WR,82.03,-41.41,nan,nan,305,65
241,Noah Gray,TE,65.77,-41.52,nan,nan,321,80
242,Van Jefferson,WR,81.66,-41.78,nan,nan,306,64
243,Jaydon Blue,RB,92.64,-41.85,nan,nan,221,-22
244,DeMario Douglas,WR,81.3,-42.14,nan,nan,309,65
245,Cole Kmet,TE,65.07,-42.22,nan,nan,324,79
246,Isaiah Williams,WR,80.94,-42.5,nan,nan,311,65
247,Isaiah Davis,RB,91.86,-42.63,nan,nan,227,-20
248,DeAndre Hopkins,WR,80.58,-42.86,nan,nan,314,66
249,Dawson Knox,TE,64.39,-42.9,nan,nan,330,81
250,Marquez Valdes-Scantling,WR,80.23,-43.21,nan,nan,315,65
251,Cam Ward,QB,202.07,-43.23,nan,nan,142,-109
252,Devin Neal,RB,91.08,-43.4,nan,nan,228,-24
253,Tyler Lockett,WR,79.87,-43.57,nan,nan,316,63
254,Taysom Hill,TE,63.72,-43.57,nan,nan,339,85
255,Kalif Raymond,WR,79.53,-43.91,nan,nan,317,62
256,Chris Brooks,RB,90.32,-44.17,nan,nan,230,-26
257,Jonnu Smith,TE,63.07,-44.23,nan,nan,343,86
258,Jake Bobo,WR,79.18,-44.26,nan,nan,318,60
259,Dont'e Thornton Jr.,WR,78.84,-44.6,nan,nan,322,63
260,Drew Sample,TE,62.42,-44.87,nan,nan,355,95
261,DJ Giddens,RB,89.57,-44.92,nan,nan,231,-30
262,Nick Westbrook-Ikhine,WR,78.5,-44.94,nan,nan,323,61
263,Bryce Young,QB,200.05,-45.25,nan,nan,145,-118
264,Xavier Hutchinson,WR,78.16,-45.28,nan,nan,325,61
265,Noah Fant,TE,61.8,-45.49,nan,nan,356,91
266,Elijah Moore,WR,77.83,-45.61,nan,nan,326,60
267,LeQuint Allen Jr.,RB,88.83,-45.65,nan,nan,234,-33
268,Ashton Dulin,WR,77.5,-45.94,nan,nan,327,59
269,Tommy Tremble,TE,61.18,-46.11,nan,nan,357,88
