"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"51",5,"Mike Evans",SF,"WR25","8","","","2 out of 5 stars","+10"
"52",5,"Jameson Williams",DET,"WR26","6","","","4 out of 5 stars","+7"
"53",5,"Quinshon Judkins",CLE,"RB20","11","","","3 out of 5 stars","-7"
"54",5,"Jayden Daniels",WAS,"QB5","7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+6"
"55",5,"Christian Watson",GB,"WR27","11","","","5 out of 5 stars","+11"
"56",5,"D'Andre Swift",CHI,"RB21","10","","","2 out of 5 stars","0"
"57",5,"Bucky Irving",TB,"RB22","10","","","2 out of 5 stars","-13"
"58",5,"Tyler Warren",IND,"TE4","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-4"
"59",5,"David Montgomery",HOU,"RB23","8","","","4 out of 5 stars","-6"
"60",5,"TreVeyon Henderson",NE,"RB24","11","","","2 out of 5 stars","-12"
"61",5,"Jalen Hurts",PHI,"QB6","10","","","5 out of 5 stars","+2"
"62",5,"DJ Moore",BUF,"WR28","7","","","4 out of 5 stars","-10"
"63",5,"Rome Odunze",CHI,"WR29","10","","","3 out of 5 stars","+1"
"64",5,"Bhayshul Tuten",JAC,"RB25","7","","","4 out of 5 stars","-6"
"65",5,"Tucker Kraft",GB,"TE5","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3"
"66",5,"Jadarian Price",SEA,"RB26","11","","","4 out of 5 stars","-4"
"67",5,"Caleb Williams",CHI,"QB7","10","","","3 out of 5 stars","+9"
"68",5,"Justin Herbert",LAC,"QB8","7","","","2 out of 5 stars","+11"
"69",6,"Jaylen Warren",PIT,"RB27","9","","","2 out of 5 stars","-2"
"70",6,"Carnell Tate",TEN,"WR30","9","","","3 out of 5 stars","-1"
"71",6,"Marvin Harrison Jr.",ARI,"WR31","14","","","2 out of 5 stars","+4"
"72",6,"Tony Pollard",TEN,"RB28","9","","","3 out of 5 stars","+8"
