batch,run,position,season,k,universe,targets,S,first_feature_season,n_board_vet,n_vet,rho_points_fullvet,mae_games_fullvet,bias_games_fullvet,coverage,rho_points,pearson_points,mae_games,bias_games,rho_games,mae_naive_games
C4,C4J,WR,2021,0,m_panel_ppr12,2014-2024,11,2012,55,197,0.7122297534089892,4.3989670642611225,-0.3546692269392525,1.0,0.3978426739946267,0.3747283083174222,4.250056788732576,-1.7593123001888935,0.0345781033553639,3.690909090909091
C4,C4J,WR,2022,0,m_panel_ppr12,2014-2024,11,2012,48,193,0.7253755148350366,4.418278045670636,-0.2192341591059319,1.0,0.7404130596804931,0.7287425182453381,3.5505151136824336,-2.676326109189564,0.4035235333551509,2.4166666666666665
C4,C4J,WR,2023,0,m_panel_ppr12,2014-2024,11,2012,62,188,0.7781147805778491,4.344420069586422,-0.5342253891436312,1.0,0.5792926304585307,0.588038671561679,4.284955082487724,-3.731426807907355,0.1790923656223771,3.0806451612903225
C4,C4J,WR,2024,0,m_panel_ppr12,2014-2024,11,2012,58,190,0.7951411921596631,4.048605139782749,0.0743838837410142,1.0,0.4516972484653812,0.4654915955633246,3.365489606835395,-1.7628254439378328,0.1704752972384039,2.8793103448275863
C4,C4J,TE,2014,0,m_panel_ppr12,2014-2024,11,2012,3,80,0.6985922211322843,3.809904578653085,-0.5448983081035086,1.0,,,,,,
C4,C4J,TE,2015,0,m_panel_ppr12,2014-2024,11,2012,6,79,0.5692981113824724,3.7858459264495696,-0.4700553185316317,1.0,,,,,,
C4,C4J,TE,2016,0,m_panel_ppr12,2014-2024,11,2012,5,85,0.6628558679077509,4.203166948846,0.5161880994954696,1.0,,,,,,
C4,C4J,TE,2017,0,m_panel_ppr12,2014-2024,11,2012,7,92,0.614795778798169,4.48601226102326,-0.7612244047236771,1.0,,,,,,
C4,C4J,TE,2018,0,m_panel_ppr12,2014-2024,11,2012,11,89,0.6181598269703408,4.311879673098682,1.0863231297074234,1.0,0.2272727272727272,0.3855427098749612,3.063820137320642,-2.615596510754945,0.1043756138889901,1.9090909090909087
C4,C4J,TE,2019,0,m_panel_ppr12,2014-2024,11,2012,11,91,0.5313615458053471,4.4594515365653935,-0.4437828034054566,1.0,0.3090909090909091,0.1820116648405939,4.722666238871451,-2.0513218282488626,-0.2857415935487382,4.636363636363637
C4,C4J,TE,2020,0,m_panel_ppr12,2014-2024,11,2012,16,85,0.6314834140825988,4.289479391459962,-1.0636886553452485,1.0,0.3647058823529411,0.5250877508858022,3.7180769953872463,-3.1816377656347115,-0.0059935603820255,2.9375
C4,C4J,TE,2021,0,m_panel_ppr12,2014-2024,11,2012,17,90,0.6729920928110461,4.365104192023898,-0.0740111258864436,1.0,0.3946078431372549,0.5706169932621971,3.805844813087336,-2.0048274026921824,0.179237621012436,3.3529411764705883
C4,C4J,TE,2022,0,m_panel_ppr12,2014-2024,11,2012,14,89,0.7811504279673963,3.493176037332559,0.3272343015287291,1.0,0.3626373626373627,0.3278472051689053,3.2127346276642306,-2.1296638222886832,-0.0227672917790708,2.9285714285714284
C4,C4J,TE,2023,0,m_panel_ppr12,2014-2024,11,2012,17,89,0.7695451411900205,3.7576046559499785,-0.4375649095012279,1.0,0.4975490196078431,0.4134449416448365,3.8735957369050986,-2.198997816480559,0.0611453780460701,2.9411764705882355
C4,C4J,TE,2024,0,m_panel_ppr12,2014-2024,11,2012,18,86,0.7400456060513801,3.800127637402837,-0.3201037662874345,1.0,0.3717088776198447,0.4613782146345224,3.0315350560039067,-1.825960415394188,0.1316021814948344,3.111111111111111
C4,C4Jk,QB,2014,0,m_panel_ppr12,2014-2024,11,2012,9,61,0.782832244328365,3.249300719733613,-0.1989978734170689,1.0,,,,,,
C4,C4Jk,QB,2015,0,m_panel_ppr12,2014-2024,11,2012,10,68,0.6326842689802341,3.66407326773851,-0.5957709834849281,1.0,0.5272727272727272,0.2703119431891246,4.0939605632185,-3.307585825213205,0.3027495893961478,2.2
C4,C4Jk,QB,2016,0,m_panel_ppr12,2014-2024,11,2012,12,67,0.7708498672750832,3.132516073944255,0.0782730230534416,1.0,0.4055944055944056,0.1809434919609511,3.005041253448226,-2.8805229053998187,0.1554841459116172,0.9166666666666666
C4,C4Jk,QB,2017,0,m_panel_ppr12,2014-2024,11,2012,13,73,0.7123934353438925,3.1847609734078905,-0.2247789838752757,1.0,-0.0054945054945054,-0.2483773104991372,2.383283732727697,-1.2657179920969133,0.3643454616444161,1.1538461538461535
C4,C4Jk,QB,2018,0,m_panel_ppr12,2014-2024,11,2012,18,65,0.6149548716823983,3.510019443630551,0.0092734618717846,1.0,-0.0959752321981424,-0.1328997575797985,4.319094195402162,-3.010241393573173,0.3397610871230223,3.1666666666666665
C4,C4Jk,QB,2019,0,m_panel_ppr12,2014-2024,11,2012,19,72,0.6761919335821783,3.710986037907938,0.4705208424056448,1.0,0.3578947368421052,0.1951951846232881,3.81754973117666,-3.232491347139625,-0.0335664364063485,2.3157894736842106
C4,C4Jk,QB,2020,0,m_panel_ppr12,2014-2024,11,2012,19,73,0.7568731458199719,3.4318057627699203,-0.4637927200987257,1.0,0.4350877192982456,0.4196541448342415,3.917341505016233,-2.0962551050752607,0.0779384584786345,2.894736842105264
C4,C4Jk,QB,2021,0,m_panel_ppr12,2014-2024,11,2012,19,73,0.7119570706900962,3.396125198856095,0.4677615551628972,1.0,0.1245614035087719,0.1016597749868592,3.961307163545644,-1.965536514474643,-0.1068409381430594,3.3157894736842106
C4,C4Jk,QB,2022,0,m_panel_ppr12,2014-2024,11,2012,19,77,0.740579977774305,2.849814613584522,-0.2152570560326495,1.0,0.4105263157894737,0.6502106846825562,2.680122727630443,-1.1421448053423946,0.5764620422434554,1.947368421052632
C4,C4Jk,QB,2023,0,m_panel_ppr12,2014-2024,11,2012,23,79,0.6077211450681542,3.971689725066189,-0.2202364988826536,1.0,0.0622529644268774,0.0955991164331563,4.585680060975074,-1.7147919118942074,-0.0085549018762437,4.304347826086956
C4,C4Jk,QB,2024,0,m_panel_ppr12,2014-2024,11,2012,23,85,0.7095214959657009,3.389181651210672,-0.0985398928880338,1.0,0.3438735177865613,0.4454816532777195,4.536033067591318,-3.2858053329824566,0.0214513213567244,3.869565217391304
C4,C4Jk,RB,2014,0,m_panel_ppr12,2014-2024,11,2012,3,118,0.641668575648497,4.570053773156106,0.3177897829903051,1.0,,,,,,
C4,C4Jk,RB,2015,0,m_panel_ppr12,2014-2024,11,2012,3,114,0.6216675964150773,4.17049090085758,-0.0545785248287993,1.0,,,,,,
C4,C4Jk,RB,2016,0,m_panel_ppr12,2014-2024,11,2012,9,123,0.5918666208525953,4.572824463226325,0.4512374800245358,1.0,,,,,,
C4,C4Jk,RB,2017,0,m_panel_ppr12,2014-2024,11,2012,13,122,0.5949083076992979,4.930823197766117,-0.3244984953298264,1.0,0.5439560439560439,0.3699768378013275,5.46866327828698,-2.409781073928732,0.1256404290592081,4.615384615384615
C4,C4Jk,RB,2018,0,m_panel_ppr12,2014-2024,11,2012,27,120,0.6170861478540549,4.339342972744167,0.1387636764419329,1.0,0.3571428571428571,0.4161002965977642,3.64520603721536,-2.529361714068404,0.4202071811200099,3.0
C4,C4Jk,RB,2019,0,m_panel_ppr12,2014-2024,11,2012,34,118,0.6988857658556673,4.581308610302302,-0.2976160402159429,1.0,0.3561497326203208,0.5235481234237774,3.941914431155392,-3.4955709841290106,0.1816959756181729,2.735294117647059
C4,C4Jk,RB,2020,0,m_panel_ppr12,2014-2024,11,2012,44,119,0.6602805435724546,3.926569630146272,-0.6761802916606015,1.0,0.3881606765327696,0.351472505299009,4.483259115401581,-1.1967769928341645,-0.1644759970645665,4.886363636363637
C4,C4Jk,RB,2021,0,m_panel_ppr12,2014-2024,11,2012,54,116,0.5859603244816501,4.593731626792327,0.1498093052496733,1.0,0.5990851915380216,0.6000501422220995,4.015012522706028,-2.632807830053965,0.179579215023712,4.12962962962963
C4,C4Jk,RB,2022,0,m_panel_ppr12,2014-2024,11,2012,41,123,0.7078094153024649,4.6421510425362085,-0.2406788429488112,1.0,0.3731707317073172,0.3160638963698142,4.614357877065904,-3.580884064069682,0.0983897143484929,4.0
C4,C4Jk,RB,2023,0,m_panel_ppr12,2014-2024,11,2012,50,128,0.7338682968338405,4.3993612198269005,0.1454393553612762,1.0,0.3772869147659063,0.3708973489012916,4.124285387477347,-2.925103606476392,0.3045650107890542,3.14
