batch,run,position,season,k,universe,targets,S,first_feature_season,n_board_vet,n_vet,rho_points,pearson_points,mae_games,bias_games,rho_games,mae_naive_games,rho_points_fullvet,mae_games_fullvet,bias_games_fullvet,coverage
C3,C3Ck,WR,2024,0,m_panel_ppr12,2015-2024,10,2013,58,190,0.4540350985664005,0.4649102872286821,3.3685711714410305,-1.7577670421899367,0.1690086417432172,2.8793103448275863,0.7945814406172921,4.03832616453716,0.0585542659843932,1.0
C3,C3Ck,TE,2015,0,m_panel_ppr12,2015-2024,10,2013,6,79,,,,,,,0.5817721822204139,3.8702726589440575,-0.8204653694104309,0.8333333333333334
C3,C3Ck,TE,2016,0,m_panel_ppr12,2015-2024,10,2013,5,85,,,,,,,0.6533742613127513,4.204754730686896,0.3518875688641081,0.8
C3,C3Ck,TE,2017,0,m_panel_ppr12,2015-2024,10,2013,7,92,,,,,,,0.6091908740076671,4.465365920750142,-0.8943423266197277,1.0
C3,C3Ck,TE,2018,0,m_panel_ppr12,2015-2024,10,2013,11,89,0.3454545454545455,0.3859546201408523,3.133428782692002,-2.869023541015143,0.233602564418216,1.9090909090909087,0.6095002697044952,4.313302700987389,1.0243259926905914,0.9090909090909092
C3,C3Ck,TE,2019,0,m_panel_ppr12,2015-2024,10,2013,11,91,0.2545454545454546,0.1579676543900563,4.860696519098185,-2.1790142726851944,-0.2857415935487382,4.636363636363637,0.5269197192722801,4.469656060918917,-0.5087657967807148,0.8181818181818182
C3,C3Ck,TE,2020,0,m_panel_ppr12,2015-2024,10,2013,16,85,0.3647058823529411,0.5228991263383043,3.835174534717358,-3.3200515563060016,-0.1063856967809532,2.9375,0.6280715800801032,4.326679469974134,-1.0979822218152933,1.0
C3,C3Ck,TE,2021,0,m_panel_ppr12,2015-2024,10,2013,17,90,0.375,0.571441504313782,3.811294783859029,-2.10708544884912,0.229025849071446,3.3529411764705883,0.6739742782356059,4.361665333400932,-0.1048393956747765,0.9411764705882352
C3,C3Ck,TE,2022,0,m_panel_ppr12,2015-2024,10,2013,14,89,0.4373626373626373,0.3173494602480324,3.2531786085308334,-2.21911176305724,0.0159371042453496,2.9285714285714284,0.7771873356414112,3.538452127634553,0.2965410677275295,1.0
C3,C3Ck,TE,2023,0,m_panel_ppr12,2015-2024,10,2013,17,89,0.4926470588235295,0.4143659893658388,3.885145595325976,-2.237932055682222,0.1035727832208943,2.9411764705882355,0.766505564960648,3.768143702846518,-0.4757928093009319,1.0
C3,C3Ck,TE,2024,0,m_panel_ppr12,2015-2024,10,2013,18,86,0.3768715009201203,0.4764729689754591,3.05364292636938,-1.888381459312758,0.1399578755579984,3.111111111111111,0.7294637905865333,3.819752112607858,-0.3602100431461174,1.0
C3,C3D,QB,2015,0,m_panel_ppr12,2015-2024,10,2013,10,68,0.6121212121212121,0.2686832081080589,4.319209679172821,-3.558147311264295,0.1124498474899977,2.2,0.6161303666837552,3.857505643043584,-0.2938499726378393,1.0
C3,C3D,QB,2016,0,m_panel_ppr12,2015-2024,10,2013,12,67,0.3846153846153847,0.2575088455563035,3.0776837521303704,-3.0450199806077927,0.3908115018859568,0.9166666666666666,0.7572454469937687,3.295860886973327,0.3501655329320437,1.0
C3,C3D,QB,2017,0,m_panel_ppr12,2015-2024,10,2013,13,73,-0.0054945054945054,-0.2995741154903684,2.4253090995535302,-1.361300092204105,0.4697346447647018,1.1538461538461535,0.7339025933835156,3.222141568100955,-0.1045282487277152,1.0
C3,C3D,QB,2018,0,m_panel_ppr12,2015-2024,10,2013,18,65,-0.0939112487100103,-0.1495460918824857,4.342968521274165,-3.1343490135853216,0.3754606216395718,3.1666666666666665,0.5963374150421867,3.621126925432825,0.0998558678396737,1.0
C3,C3D,QB,2019,0,m_panel_ppr12,2015-2024,10,2013,19,72,0.3578947368421052,0.2124553592798823,3.8879845029620586,-3.310337419128289,-0.1145207830334245,2.3157894736842106,0.6776044993198402,3.767224204121528,0.5585195698738059,1.0
C3,C3D,QB,2020,0,m_panel_ppr12,2015-2024,10,2013,19,73,0.4614035087719298,0.4146051811321891,3.979845416369829,-2.154603851721263,0.1150067497062777,2.894736842105264,0.7601274643128288,3.4503699751868164,-0.4167612507129516,1.0
C3,C3D,QB,2021,0,m_panel_ppr12,2015-2024,10,2013,19,73,0.1350877192982456,0.1085876533404914,3.926386473549356,-2.0625094590552395,-0.1267604350849858,3.3157894736842106,0.7201247190183563,3.410205309158117,0.5489862108742515,1.0
