batch,run,position,season,k,universe,targets,S,first_feature_season,n_board_vet,n_vet,rho_points_fullvet,mae_games_fullvet,bias_games_fullvet,rho_points,pearson_points,mae_games,bias_games,rho_games,mae_naive_games
AB1,ABEXP,QB,2021,0,m_panel_ppr12,2013-2024,12,2002,19,73,0.7049272817663456,3.454700855068774,0.4736187847271547,0.1526315789473684,0.10609059744001,4.058358810928713,-2.224023936854135,-0.0896377362386685,3.3157894736842106
AB1,ABEXP,QB,2022,0,m_panel_ppr12,2013-2024,12,2002,19,77,0.7384937626037099,2.856627419691409,-0.2104726877049661,0.4596491228070175,0.6546660620819018,2.7813473613948605,-1.3320532027793557,0.5728981347179936,1.947368421052632
AB1,ABEXP,QB,2023,0,m_panel_ppr12,2013-2024,12,2002,23,79,0.6061830466427252,3.995512092758129,-0.2390561608861482,0.0553359683794466,0.0949699198785462,4.672273477622528,-1.955147836944581,-0.0241550170623353,4.304347826086956
AB1,ABEXP,QB,2024,0,m_panel_ppr12,2013-2024,12,2002,23,85,0.7080785564557167,3.3875308923854024,-0.1949095715190474,0.3577075098814229,0.4428514511264801,4.624921064002566,-3.5006266706416653,-0.017365355384015,3.869565217391304
AB1,ABEXP,RB,2013,0,m_panel_ppr12,2013-2024,12,2002,1,121,0.7411058809858766,4.879137325569323,0.3452394126607002,,,,,,
AB1,ABEXP,RB,2014,0,m_panel_ppr12,2013-2024,12,2002,3,118,0.6656216957531519,4.287083333841668,0.5116824161996671,,,,,,
AB1,ABEXP,RB,2015,0,m_panel_ppr12,2013-2024,12,2002,3,114,0.6407637874535853,4.024614761438775,0.2916242234195642,,,,,,
AB1,ABEXP,RB,2016,0,m_panel_ppr12,2013-2024,12,2002,9,123,0.5840943853795643,4.556990315082498,0.7301535252589231,,,,,,
AB1,ABEXP,RB,2017,0,m_panel_ppr12,2013-2024,12,2002,13,122,0.5926269536897707,4.875703894121015,-0.0424809501878499,0.6263736263736264,0.3447751811251149,5.275231873396802,-1.936229185705937,0.2123921538858041,4.615384615384615
AB1,ABEXP,RB,2018,0,m_panel_ppr12,2013-2024,12,2002,27,120,0.6342417750641922,4.273655171256716,0.4174218394430073,0.3852258852258852,0.4626806776120166,3.3372097077511174,-2.008881268022059,0.334906697162315,3.0
AB1,ABEXP,RB,2019,0,m_panel_ppr12,2013-2024,12,2002,34,118,0.7097402695034154,4.501034438226647,-0.0546587660077393,0.3750954927425515,0.5216910829046636,3.704991485690737,-3.1939418215908986,0.1826581784899373,2.735294117647059
AB1,ABEXP,RB,2020,0,m_panel_ppr12,2013-2024,12,2002,44,119,0.6637096426467637,3.901658401100112,-0.4893348354043925,0.3961945031712473,0.3669230674758701,4.455663362784406,-0.989283573819006,-0.1220076696705203,4.886363636363637
AB1,ABEXP,RB,2021,0,m_panel_ppr12,2013-2024,12,2002,54,116,0.5783503600305316,4.615222178213186,0.2954403929520307,0.6114351057747284,0.5983781457840553,4.013531218346712,-2.4678509826326698,0.1406320134747659,4.12962962962963
AB1,ABEXP,RB,2022,0,m_panel_ppr12,2013-2024,12,2002,41,123,0.7046700033766715,4.611749675984535,-0.0908153438536971,0.3421602787456446,0.3090679071442206,4.565584311406997,-3.4385069538553807,0.0897605983522869,4.0
AB1,ABEXP,RB,2023,0,m_panel_ppr12,2013-2024,12,2002,50,128,0.736753485307773,4.331789610552616,0.3195826610901941,0.3871788715486194,0.3825589467540967,3.9148464942294168,-2.6557315165195945,0.3174057606828537,3.14
AB1,ABEXP,RB,2024,0,m_panel_ppr12,2013-2024,12,2002,51,112,0.782967548000808,4.267535551328261,-0.2430227334391294,0.4927260799016708,0.4566334721008673,3.713600109927959,-2.509142991478678,0.3283878857015203,3.07843137254902
AB1,ABEXP,WR,2014,0,m_panel_ppr12,2014-2024,11,2012,8,179,0.7129263170333636,4.54979671719319,-0.1582621977859275,,,,,,
AB1,ABEXP,WR,2015,0,m_panel_ppr12,2014-2024,11,2012,17,181,0.7654847433298169,3.970847352299407,0.518408923190736,0.4240196078431372,0.3541545499339001,3.979234803222676,-3.0700938461317304,-0.0386201445395734,3.235294117647059
AB1,ABEXP,WR,2016,0,m_panel_ppr12,2014-2024,11,2012,24,188,0.6900019027889621,4.578542891582823,-0.003036037580192,0.6721739130434782,0.6714997813744235,3.006776970445036,-1.6042024252975946,0.6815529137119353,1.875
AB1,ABEXP,WR,2017,0,m_panel_ppr12,2014-2024,11,2012,32,193,0.722870536828409,4.283807006227383,0.4121357203638338,0.3005865102639296,0.262695643307122,3.897003669835102,-1.7969895899032973,-0.0793800014028034,3.53125
AB1,ABEXP,WR,2018,0,m_panel_ppr12,2014-2024,11,2012,38,186,0.7300269661661838,4.212268634863613,-0.0394158491368209,0.688077913159906,0.6589678215372188,3.890830670761155,-2.7337339389729216,0.2847572031101374,3.631578947368421
AB1,ABEXP,WR,2019,0,m_panel_ppr12,2014-2024,11,2012,50,185,0.7433287089598495,4.217341505244713,0.3506882206812709,0.552172869147659,0.5319448906808592,3.2499946744976893,-2.2025840310641573,0.1868724198929815,2.72
